source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,stance,stance_reason 
783606,India is building Ram Mandir and manufacturing vaccine for the world.,Pro Ruling,pro ruling,ram mandir,"['vaccine', 'india', 'manufacturing']","[{'text': 'vaccine', 'score': 0.5252}, {'text': 'india', 'score': 0.4336}, {'text': 'manufacturing', 'score': 0.2054}]",For ,"shows how India is doing great things, one being the creation of ram mandir. "
613176,"Finally, the most awaited day for Hindus has arrived; Wait of over 500 years is over as #Ramlalla returns to his birthplace: #RamMandirAyodhya https://t.co/xFirxviUmH via @eOrganiser",Pro Ruling,pro ruling,ram mandir,"['hindus', 'wait', '500']","[{'text': 'hindus', 'score': 0.697}, {'text': 'wait', 'score': 0.2435}, {'text': '500', 'score': 0.2074}]",For ,claims that ram mandir is the most awaited day for Hindus. 
1951230,"One of the most remarkable constructions under progress is the Hindu Temple, Ram Mandir, located in Ayodhya of Uttar Pradesh. The construction of Ram Mandir is going on the ground site where Lord Rama had taken birth. #भारत_गौरव_श्रीराम_मंदिर https://t.co/KdwD7XsipE",Pro Ruling,pro ruling,ram mandir,"['hindu', 'progress', 'under']","[{'text': 'hindu', 'score': 0.5967}, {'text': 'progress', 'score': 0.2586}, {'text': 'under', 'score': 0.155}]",For ,"claims it is the one of the ""most remarkable"" constructions. "
1296504,"5th August 

#Olympics #Hockey Bronze Medal after 41 years

#RamMandir after 500 years

 #AbrogationOf370 #OneIndia after 70 years  

Jai Hind https://t.co/hmG1OuCMfV https://t.co/sAAit3HjRj",Pro Ruling,pro ruling,ram mandir,"['medal', 'hockey', 'india']","[{'text': 'medal', 'score': 0.632}, {'text': 'hockey', 'score': 0.5622}, {'text': 'india', 'score': 0.2142}]",For ,shows how 5th august is a great day for india due to ram mandir and because we won in olympics. 
2444071,"Let MCD elections get over, Kejriwal will take Delhites to the theaters to watch Kashmir files for free, just like he has promised Delhites free visits to Ram mandir for darshan. Right now he needs votes from all communities. Media will of course oblige.",Pro OPP,pro opposition,ram mandir,"['kashmir', 'elections', 'theaters']","[{'text': 'kashmir', 'score': 0.4503}, {'text': 'elections', 'score': 0.3064}, {'text': 'theaters', 'score': 0.2625}]",Neutral ,no stance taken on ram mandir. 
165649,Advani raised the Ram Mandir issue &amp; took out a Rath Yatra which left a trial of blood across India. M M Joshi was present with Advani on the spot. Both under trials in the criminal case &amp; @narendramodi will do the Bhoomi pujan. Politics of Ram Mandir,Pro OPP,pro opposition,ram mandir,"['narendramodi', 'blood', 'both']","[{'text': 'narendramodi', 'score': 0.5169}, {'text': 'blood', 'score': 0.2778}, {'text': 'both', 'score': 0.2659}]",Against ,calls out the dirty politics behind ram mandir. 
499006,"So on 5th August- the most auspicious  symbol of national unity, integration &amp; harmony Shri Ram Mandir Bhoomipujan will happen... Congress &amp; Rahul chamchas will mark it as BLACK DAY! 

Would they mock any other faith like this? Would 25th Dec be observed as Black Day? https://t.co/ZBQHm9zepn",Pro Ruling,pro ruling,ram mandir,"['day', 'black', 'congress']","[{'text': 'day', 'score': 0.3851}, {'text': 'black', 'score': 0.3654}, {'text': 'congress', 'score': 0.2425}]",For ,"condemns rahul gandhi and his ""chamchas"" for declaring 5th august as black day for the inaugration of ram mandir. Says no other faith is mocked like hinduism. "
427242,"Babar ne Ram Mandir kya Advani ki rath Yatra dekh kar tudwaya tha? 
Ahmad Shah Abdali ne Kashmir mein kya 370 hatne par Hinduon ko katwaya tha? 
Timur ne Kafiron ke sir kaat ke minar kya CAA ke baad banwaya tha? 
Jinnah ko kaunsa Gandhi ne kaat khaaya tha? https://t.co/h8I9i2aZyn",Pro Ruling,pro ruling,ram mandir,"['hinduon', 'kafiron', 'ne']","[{'text': 'hinduon', 'score': 0.6386}, {'text': 'kafiron', 'score': 0.2557}, {'text': 'ne', 'score': 0.1533}]",For ,mocks critics of ram mandir. 
1179145,Librandus hate President of India mainly because he donated 5 lakhs for Ram Mandir,Pro Ruling,pro ruling,ram mandir,"['hate', 'india', 'donated']","[{'text': 'hate', 'score': 0.373}, {'text': 'india', 'score': 0.2274}, {'text': 'donated', 'score': 0.1167}]",For ,shows how president receives hate for donating money to ram mandir. 
253497,"I've filed a Letter PIL with the Allahabad High Court seeking a stay on the Ram Mandir event in Ayodhya in view of the Unlock 2.0 guidelines &amp; in the interest of public health during a pandemic.

Dunno what comes out of it but we must not stop doing the right thing &amp; speaking up. https://t.co/LYBEwmJp2Q",Pro OPP,pro opposition,ram mandir,"['ayodhya', 'pandemic', 'court']","[{'text': 'ayodhya', 'score': 0.5263}, {'text': 'pandemic', 'score': 0.3384}, {'text': 'court', 'score': 0.2305}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
1068883,"Because of incompetence and inefficiency of Hindu rakshak party and its' Hindu hriday samrat leader(s) thousands of hindus got kîllèd. 

Yet, the fake Hindu rakshak party has a dream to come back in U.P. in 2022 based on Ram mandir and hindu-muslim propaganda. Amazing.",Pro OPP,pro opposition,ram mandir,"['hindus', 'fake', 'inefficiency']","[{'text': 'hindus', 'score': 0.5165}, {'text': 'fake', 'score': 0.243}, {'text': 'inefficiency', 'score': 0.1331}]",Against ,"shows how bjp is a ""fake"" protector of hinduism. "
