source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
6704900,"Women's Empowerment in Agriculture Field.
Women Farmer namely Neelam Devi W/O Pardeep Singh R/O Basantgarh Rasli Hilly area of Dist. Udhampur J&amp;K, ploughing the field for Sowing of Crop Oats Kent with 'Power Tiller' in Rabi Season. @DirectorateofA2.
#agrigoi #aatmanirbharkisan https://t.co/JkE470S9Bu",AgriGoI,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'agriculture', 'score': 0.5764}, {'text': 'women', 'score': 0.4504}, {'text': 'sowing', 'score': 0.2576}]"
2480044,"Government is committed to provide affordable rental housing for migrant workers: FM @nsitharaman 
#AatmaNirbharBharatKaBudget #Budget2021",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'rental', 'score': 0.5563}, {'text': 'government', 'score': 0.2592}, {'text': 'aatmanirbharbharatka', 'score': 0.1396}]"
4334468,Center of Creative Learning have given an innovative spin to Gandhi ji's Charkha! Have a similar knack of designing toys? Participate in #Toycathon and help take PM @narendramodi's vision of #AatmaNirbhar Bharat Toys forward. Visit: https://t.co/CXMPKBTz9F today! @mhrd_innovation https://t.co/x5xKBN7yu3,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'creative', 'score': 0.5056}, {'text': 'narendramodi', 'score': 0.4373}, {'text': 'spin', 'score': 0.2675}]"
4495907,PM Shri @narendramodi gave a call for #AatmaNirbharBharat while battling the pandemic of #COVID19. It was his inspiration following which I decided to do my part in making of AatmaNirbhar Bharat through #AatmaNirbharMP of which this document is the roadmap: CMShri @ChouhanShivraj https://t.co/3tw3U7oLrv,CMMadhyaPradesh,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'aatmanirbhar', 'score': 0.7066}, {'text': 'pandemic', 'score': 0.4086}, {'text': 'roadmap', 'score': 0.1906}]"
5981804,This is how the Union Budget 2022-23 was received by the top industry leaders. #AatmaNirbharBharatKaBudget https://t.co/pY04YBc6Un,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'budget', 'score': 0.615}, {'text': 'union', 'score': 0.4906}, {'text': 'aatmanirbharbharatka', 'score': 0.3474}]"
5246150,"To bring India’s Entrepreneurial force onto the global map, @DIPPGOI is hosting “Prarambh”, the Startup India International Summit on January 15-16, 2021. For more details, visit: https://t.co/kx1ve0XlFu #AatmaNirbharBharat #AarambhToPrarambh https://t.co/lAwwg9HNBK",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'prarambh', 'score': 0.4411}, {'text': 'startup', 'score': 0.3566}, {'text': 'hosting', 'score': 0.3503}]"
7008405,"#AatmanirbharBharat: MoD accords high priority to indigenisation of Software Defined Radios for the Armed Forces 

The complete product life cycle management framework is necessary for security sensitive SDR technology and products.

Read here: https://t.co/aZUcZC4CdY",PIB_India,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'radios', 'score': 0.4978}, {'text': 'management', 'score': 0.3723}, {'text': 'indigenisation', 'score': 0.1337}]"
121016,"Today, on 9th August’20, Hon’ble Prime Minister will press the button and release the payments of nearly Rs 17,000 Crore to more than 8.5 Crore farmers #AatmaNirbharKrishi @AgriGoI @narendramodi @PMOIndia @KailashBaytu @nstomar @PRupala",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'minister', 'score': 0.5416}, {'text': 'button', 'score': 0.3648}, {'text': 'payments', 'score': 0.2967}]"
2850003,"In a big boost to #AatmaNirbharShipping, the cabinet approves the scheme for the promotion of flagging of Merchant Ships in India. Take a look! #CabinetDecisions https://t.co/D5UL7YGQLx https://t.co/Xnk9aJQS2N",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'ships', 'score': 0.4247}, {'text': 'india', 'score': 0.3499}, {'text': 'cabinet', 'score': 0.2943}]"
5995101,"#Aatmanirbharta is going to become a strong pillar in India's growth. From #INSVikrant to Tejas, made-in-India defence technology is strengthening our nation! :PM @narendramodi
@indiannavy",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'india', 'score': 0.5613}, {'text': 'irb', 'score': 0.4446}, {'text': 'strengthening', 'score': 0.3963}]"
5325047,"Are you working towards building an #AatmaNirbharBharat? Do you have an inspiring story that can become a part of PM @narendramodi's #MannKiBaat? 

Dial 1800-11-7800 or share it with us at https://t.co/YpqEA1gPQo https://t.co/ksJ3E1aL7s",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'kiba', 'score': 0.4471}, {'text': 'inspiring', 'score': 0.4464}, {'text': 'share', 'score': 0.2212}]"
2315374,"#IndianToyStory: 

Have a look at the success story of Indian Toy Manufacturer ""Aditi Toys"" from Rajkot, Gujarat, who is fulfilling Prime Minister @narendramodi's dream of #AatmaNirbharBharat. 

@PMOIndia @vijayrupanibjp @CMOGuj @DIPPGOI @DDNewslive @PIB_India @TexMinIndia https://t.co/xL0JzQUReB",MIB_India,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'toys', 'score': 0.5745}, {'text': 'pib_india', 'score': 0.4673}, {'text': 'ddnewslive', 'score': 0.1716}]"
5326202,Towards boosting farmers’ income! #AatmanirbharKrishi #AatmanirbharBharat https://t.co/S6aKA6lX44,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'farmers', 'score': 0.5978}, {'text': 'income', 'score': 0.4216}, {'text': 'boosting', 'score': 0.3592}]"
2476892,"Till 2016, Assam had only 6 medical colleges, but in the last 5 years we have begun development on 6 new medical colleges: PM @narendramodi
 #AatmaNirbharPurviBharat https://t.co/h1QtIAvCNo",PBNS_India,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'assam', 'score': 0.3746}, {'text': 'colleges', 'score': 0.3606}, {'text': 'medical', 'score': 0.3328}]"
88081,"PM @narendramodi to interact with farmers and transfer Rs18,000 Crore to bank accounts of 9 crore farmers under PM Kisan Samman Nidhi Yojana on 25th December 2020 at 12 PM. Register now: https://t.co/vff9e4jDUq #AatmaNirbharKrishi #TransformingIndia https://t.co/LduTZLbWWK",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'narendramodi', 'score': 0.5251}, {'text': 'bank', 'score': 0.2963}, {'text': 'transforming', 'score': 0.223}]"
1307941,Beneficiaries of PM SVANidhi Yojana from Uttar Pradesh share their stories of how the scheme has helped them become AatmaNirbhar. #AatmaNirbharVendor https://t.co/M2xIf4teMC,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'aatmanirbhar', 'score': 0.6008}, {'text': 'beneficiaries', 'score': 0.5674}, {'text': 'vendor', 'score': 0.3359}]"
4848513,"Tourism, renewable energy, logistics, real estate, infrastructure are some of the sunrise sectors where Madhya Pradesh has immense potential. These webinars will pave the path to #AatmaNirbharMP. I welcome all the sector experts to this webinar: CM Shri @ChouhanShivraj https://t.co/8dq69Ev1C9",CMMadhyaPradesh,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'pradesh', 'score': 0.5087}, {'text': 'webinars', 'score': 0.3457}, {'text': 'renewable', 'score': 0.2692}]"
5981576,"In today's world, medical science is technology-driven therefore, we should focus on manufacturing medical equipment in which technology will play a key role to meet the demand and supply :PM @narendramodi #Budget4SciandTech #AatmanirbharBharatKaBudget",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'technology', 'score': 0.4707}, {'text': 'medical', 'score': 0.4077}, {'text': 'narendramodi', 'score': 0.1897}]"
33203,"With various reforms &amp; laws by the Government, Agriculture Sector has noticed a 47% increase in the MSP of Cotton from 2013-14 to 2020-21. Take a look at the comparison to know more! #AatmaNirbharKrishi #FarmersFirst @PIB_India @MIB_India @AgriGoI @nstomar @KailashBaytu @PRupala https://t.co/QWzXc8oGwm",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'cotton', 'score': 0.5452}, {'text': 'increase', 'score': 0.2542}, {'text': 'pib_india', 'score': 0.1831}]"
4516792,"BJP’s Manifesto Promise vs Delivery #Budget2021

Budget 2021-22 : Boosting Research &amp; Innovation

#AatmanirbharBharatKaBudget https://t.co/fFQMqsxf9o",knowthenation,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': '2021', 'score': 0.5994}, {'text': 'aatmanirbharbharatka', 'score': 0.3914}, {'text': 'delivery', 'score': 0.3569}]"
279172,"18 farmer organisations meet Agriculture Minister @nstomar; extend support to new #FarmLaws 

#AatmaNirbharKrishi #AgriReforms @AgriGoI 

Read More: https://t.co/FfHhZ6JPtn https://t.co/02311ZU53j",DDNewslive,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'agriculture', 'score': 0.5276}, {'text': 'meet', 'score': 0.2378}, {'text': 'extend', 'score': 0.195}]"
1898880,"#Budget2021

Outlay for health increased to ₹ 2,23,846 crore, an increase of 137% relative to previous year's budget

#AatmanirbharBharatKaBudget https://t.co/GLWaUXa2vW",PIB_India,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'budget', 'score': 0.4693}, {'text': 'health', 'score': 0.3188}, {'text': 'aatmanirbharbharatka', 'score': 0.1434}]"
234125,"Digital surgical strike by @narendramodi on China 

Ṭik Tok &amp; many Chinese apps banned 

Previously 
GoI cancelled many Chinese contracts in railways etc
Country of origin filter added
FDI from china made more difficult 
Push for Local by PM via atma nirbhar

CKMKB Jai Hind",Shehzad_Ind,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'china', 'score': 0.5084}, {'text': 'strike', 'score': 0.3435}, {'text': 'surgical', 'score': 0.2694}]"
651397,"On 23 May @agulati115 says to @IndianExpress:""only way to cool down the pressure is to augment supply by reducing the duty on pulses to 15% &amp; today he is sermonizing: ""we need to create ""aatma nirbharta"", not by levying high import duties"" #oilseed

Such contradiction in 2 months https://t.co/SHKiFwTAYQ",ramanmann1974,Pro OPP,pro opposition,aatmanirbhar,"[{'text': 'pressure', 'score': 0.5339}, {'text': 'oilseed', 'score': 0.2995}, {'text': 'sermonizing', 'score': 0.2869}]"
5726668,"To further electronics manufacturing, duty concessions given for high growth of electronics items: FM @nsitharaman #AatmaNirbharBharatKaBudget",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'electronics', 'score': 0.4784}, {'text': '2022', 'score': 0.3872}, {'text': 'finminindia', 'score': 0.2173}]"
32711,"eOffice goes Digital Across CBIC Formations !

#AatmaNirbharApnaBharat https://t.co/mJJ6g2hRyo",cbic_india,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'digital', 'score': 0.6222}, {'text': 'aatmanirbharapnabharat', 'score': 0.5389}, {'text': 'formations', 'score': 0.2834}]"
1898877,"Urban #SwachhaBharatMission 2.0 will be implemented with a total allocation of Rs 1,41,678 crores over 5 years: FM @nsitharaman

#AatmanirbharBharatKaBudget https://t.co/k6J4h14eFU",PIB_India,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'implemented', 'score': 0.4428}, {'text': 'aatmanirbharbharatka', 'score': 0.413}, {'text': 'urban', 'score': 0.2892}]"
5992915,"PM @narendramodi launched several development initiatives at Varanasi today. 

Here are the highlights!
#NewIndia #AatmanirbharBharat https://t.co/qlKQk2s1dO",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'narendramodi', 'score': 0.5816}, {'text': 'launched', 'score': 0.3776}, {'text': 'several', 'score': 0.1772}]"
5352846,@nsitharaman @FinMinIndia Our budget focuses on taking India@75 to India@100. Last year budget has seen significant implementation: FM @nsitharaman #AatmaNirbharBharatKaBudget,DDNewslive,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'india100', 'score': 0.6589}, {'text': 'budget', 'score': 0.5274}, {'text': 'taking', 'score': 0.1753}]"
1399651,"Know the reality of the new Agricultural Reforms! 
APMC Mandis continue to operate and not a single APMC Mandi was closed after the new Farm laws were passed. 
Don’t fall prey to any misinformation. #AatmaNirbharKrishi #FarmersFirst https://t.co/cVjaGH4kzm",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'agricultural', 'score': 0.4463}, {'text': 'closed', 'score': 0.2436}, {'text': 'misinformation', 'score': 0.1787}]"
877642,PM SVANidhi yojana has helped many street vendors who were badly hit by the COVID-19 pandemic. Watch this video of some beneficiaries where they share their story of how the scheme helped them with their livelihood. Watch to know more! #AatmaNirbharVendor @MoHUA_India @PMOIndia https://t.co/V7pv5eEG6W,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'yojana', 'score': 0.4371}, {'text': 'pandemic', 'score': 0.3525}, {'text': 'beneficiaries', 'score': 0.3031}]"
32795,"Indian Customs facilitating Operation Samudra Setu.

#AatmaNirbharDesh
#SamudraSetu https://t.co/wHHYHcPANe",cbic_india,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'indian', 'score': 0.6093}, {'text': 'customs', 'score': 0.5697}, {'text': 'operation', 'score': 0.2788}]"
2577421,"With her training at RSETI &amp; Rs 2,00,000 revenue from her previous start-up, Mrs. Dlesgracia Sten was able to successfully identify customer demand &amp; establish her venture. She also provides employment to three poor girls in her locality. #AatmanirbharNariShakti https://t.co/AjNi4qcOxE",mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'mrs', 'score': 0.4245}, {'text': 'revenue', 'score': 0.3045}, {'text': 'training', 'score': 0.2902}]"
7590989,"Science in India should be aimed at making India 'aatmanirbhar': PM @narendramodi at Indian Science Congress
https://t.co/zsLNgR00OI 

via NaMo App https://t.co/9nZdKhADzN",PMOIndia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'india', 'score': 0.5704}, {'text': 'science', 'score': 0.3887}, {'text': 'congress', 'score': 0.1849}]"
1905725,The defence sector raises the bar of India’s self-dependency as it experiences an outstanding growth in the manufacturing of military weapons. #AatmanirbharBharat #SevaSamarpan https://t.co/qrA5Javtdx,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'defence', 'score': 0.5681}, {'text': 'india', 'score': 0.5104}, {'text': 'raises', 'score': 0.1454}]"
33358,"Finance Minister Smt. @nsitharaman announces measures on #AatmaNirbharBharat 3.0.

Read more ➡️ https://t.co/P7sVKMWolz https://t.co/sjzAPdfZul",FinMinIndia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'bharat', 'score': 0.4199}, {'text': 'measures', 'score': 0.4085}, {'text': 'minister', 'score': 0.2157}]"
294937,"It is now LIVE!
#AatmaNirbharApp https://t.co/mATCbmrybX",_DigitalIndia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'live', 'score': 0.5039}, {'text': 'irb', 'score': 0.4534}, {'text': 'app', 'score': 0.4474}]"
126551,Deployment of Helicopters - Bell 206-B3 (private) &amp; Mi17 (IAF) for aerial spraying of pesticides for Locust control has strengthened control capabilities of Locust Circle offices. #AatmaNirbharKrishi @AgriGoI @PMOIndia @nstomar @PRupala @KailashBaytu,mygovindia,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'pesticides', 'score': 0.5337}, {'text': 'helicopters', 'score': 0.4931}, {'text': 'bell', 'score': 0.2445}]"
5192800,"FM @nsitharaman : More than 10,500 crore rupees has been given as #MSP for pulses in the year 2020-21 which is 14 times higher as compared to 2013-14.

#AatmanirbharBharatKaBudget
#BudgetWithAIR
#Budget2021 https://t.co/hX0XVZHom0",airnewsalerts,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'budget', 'score': 0.4531}, {'text': 'pulses', 'score': 0.3394}, {'text': 'aatmanirbharbharatka', 'score': 0.3058}]"
7300598,"#SAMBHAV would carry forward the developmental works in the most remote and isolated communities &amp; empower them to become '#Aatmanirbhar' through equal access to basic services and opportunities. 

#Throwback2022 #TransformingIndia #NorthEast https://t.co/o6WZDj8hH6",MDoNER_India,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'india', 'score': 0.4731}, {'text': 'northeast', 'score': 0.2454}, {'text': 'remote', 'score': 0.2246}]"
2960279,"Let us come forward for #VocalForLocal and make #AatmaNirbharBharat 🇮🇳 
Beautiful handcrafted Ganesha's idol .
Contact @BhartiyaHandcr1 for more details. https://t.co/2kwNg2kR1s",ankitasood13,Pro Ruling,pro ruling,aatmanirbhar,"[{'text': 'vocal', 'score': 0.4685}, {'text': 'bhartiyahandcr1', 'score': 0.406}, {'text': 'handcrafted', 'score': 0.2738}]"
