source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance_reason,Unnamed: 10
1447148,"While the media going ga ga on on #BurhanWani ‘s father hoisting the national flag I request them to show the world how #KashmiriHindus  the victims of these very terrorists still celebrate #Independenceday since last 31 yrs of exile especially at #JagtiCamp. 
#ProudIndian https://t.co/cYgJXPo1rY",Pro Ruling,"['hindus', 'flag', 'media']","[{'text': 'hindus', 'score': 0.5574}, {'text': 'flag', 'score': 0.4413}, {'text': 'media', 'score': 0.1728}]",hindu,Pro Ruling,hindu,For ,"Shows Hindus, especially Kashmiri Hindus as patriotic. ",
907480,"One of the most brutal gang rape case being reported from Rajasthan

18 guys kept raping a minor hindu girl for 9 days non stop in continuous shifts!

But media is completely silent on this because the victim is a shudra dalit hindus &amp; accused are Jihadis!

Terrible! https://t.co/pcaWmiMagD",Pro Ruling,"['rape', 'hindus', 'kept']","[{'text': 'rape', 'score': 0.5664}, {'text': 'hindus', 'score': 0.5297}, {'text': 'kept', 'score': 0.1586}]",hindu,Pro Ruling,hindu,For ,"Shows violence that Dalit Hindu Women face. accused are muslims and ""jihadists"". ",
2347935,Chunavi Hindu Kejriwal ko Gujarat ke bacche kare kuch sawaal https://t.co/K674zyirld,Pro Ruling,"['hindu', 'chunavi', 'ke']","[{'text': 'hindu', 'score': 0.759}, {'text': 'chunavi', 'score': 0.521}, {'text': 'ke', 'score': 0.4291}]",hindu,Pro Ruling,hindu,Neutral ,No stance taken on Hindus. ,
638209,"17 Year Old Hindu Dalit Boy Lynched to Death by Muslim Mob in Kalyanpuri, Delhi

Why no outrage by Dalit activists &amp; media? 
https://t.co/z35lDiIVWe",Pro Ruling,"['hindu', 'lynched', 'death']","[{'text': 'hindu', 'score': 0.4553}, {'text': 'lynched', 'score': 0.4387}, {'text': 'death', 'score': 0.2658}]",hindu,Pro Ruling,hindu,For ,"Shows violence that Hindu dalits face, especially at the hands of muslims. ",
1233944,"“The Hindu’s spirit of aggression is a new phase which he has just begun to cultivate. The Muslim’s spirit of aggression is his native endowment and is ancient as compared with that of the Hindu.”
 - BR Ambedkar",Pro Ruling,"['aggression', 'hindu', 'phase']","[{'text': 'aggression', 'score': 0.6087}, {'text': 'hindu', 'score': 0.5718}, {'text': 'phase', 'score': 0.11}]",hindu,Pro Ruling,hindu,Against ,Shows how Hindu spirit of aggression is newfound and developing. ,Unsure- could be a hit at muslims tendancy towards violence for millenias. 
345177,"MLA Akhtarul Imam from Owaisi's AIMIM in Bihar decided to take oath in Urdu

But when he started reading his oath in affidavit, he objected to the word 'Hindustan' and insists ‘Hindustan’ be replaced with ‘Bharat’.

We know the reason behind objection. AIMIM has 5 seats in Bihar.",Pro Ruling,"['hindustan', 'oath', 'seats']","[{'text': 'hindustan', 'score': 0.5757}, {'text': 'oath', 'score': 0.4963}, {'text': 'seats', 'score': 0.1358}]",hindu,Pro Ruling,hindu,For ,"Trying to gain a larger muslim support base by neglecting the word ""hindu"". ",
2153605,Kapil ji is an inspiration to Hindus and Nationalists  to fight and take up social causes ❤️🙏 https://t.co/ucFYlHqCy0,Pro Ruling,"['hindus', 'fight', 'up']","[{'text': 'hindus', 'score': 0.551}, {'text': 'fight', 'score': 0.3446}, {'text': 'up', 'score': 0.216}]",hindu,Pro Ruling,hindu,For ,hindus and nationalists out in same category. ,
1834076,"Another Surgīcal strike by team Hindu IT cell.

Stay tuned and watch this space.",Pro Ruling,"['strike', 'hindu', 'cell']","[{'text': 'strike', 'score': 0.4651}, {'text': 'hindu', 'score': 0.4152}, {'text': 'cell', 'score': 0.2909}]",hindu,Pro Ruling,hindu,For ,achievement by a hindu team. ,
902160,"This lady is content head of @gaana 

Hindus who use this app/platform are indirectly donating their money to such J£hadis.. https://t.co/tTJUSHNZsr",Pro Ruling,"['hindus', 'donating', 'app']","[{'text': 'hindus', 'score': 0.4719}, {'text': 'donating', 'score': 0.4389}, {'text': 'app', 'score': 0.2799}]",hindu,Pro Ruling,hindu,For ,demanding Hindus dont direct their money to jihadists running popular apps. ,
126438,"This is how they converted each Hindus for last 1000 years. 

It's shocking that those people whose helpless ancestors were raped &amp; converted like this by force, like this Hindu women from Bangladesh, are still following the religion of the oppressors, rapists of their ancestors. https://t.co/ChhoWStYZh",Pro Ruling,"['hindus', 'rapists', 'oppressors']","[{'text': 'hindus', 'score': 0.5869}, {'text': 'rapists', 'score': 0.4868}, {'text': 'oppressors', 'score': 0.1563}]",hindu,Pro Ruling,hindu,For ,Shows how hindus have been forcefully converted. ,
