source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,Stance ,Reasoning 
638190,In a significant move the Jammu and Kashmir government has decided to issue domicile certificate to the spouse of a domicile. Earlier if a women from J&amp;K married a man outside the state the spouse was not given the domicile of the state. https://t.co/wjctHDlP0v,Pro Ruling,"['certificate', 'spouse', 'kashmir']","[{'text': 'certificate', 'score': 0.465}, {'text': 'spouse', 'score': 0.3911}, {'text': 'kashmir', 'score': 0.3163}]",kashmir,Pro Ruling,kashmir,Neutral ,Reports a policy development in the state of Kashmir. 
2798395,"#AageBadhtaKashmir will be successful only if ""age badhte hue Baluchistan-Sindh tak pahunch jaye"" 😉",Pro Ruling,"['kashmir', 'age', 'bad']","[{'text': 'kashmir', 'score': 0.4951}, {'text': 'age', 'score': 0.4663}, {'text': 'bad', 'score': 0.3075}]",kashmir,Pro Ruling,kashmir,For ,It is supportive of a politicall-charged policy within India to expand Kashmir into Pakistani provinces 
2840177,"Rahat Ali Khan was served notice by ED for smuggling illegal currency. 

Atif Aslam accused India of tyranny in Kashmir and wrote against 370 - an internal matter of India. 

Anti-India mindset also doesn't see boundaries.

Right, Big Beef Guy of Peshawar?

#BollywoodKiGandagi https://t.co/Q3bYlqimhI",Pro Ruling,"['kashmir', 'currency', 'beef']","[{'text': 'kashmir', 'score': 0.5247}, {'text': 'currency', 'score': 0.1805}, {'text': 'beef', 'score': 0.1615}]",kashmir,Pro Ruling,kashmir,Against ,Discredits Pakistani artists morally and politically and reinforce the view that they are hostile to India's sovereignty
2040627,"According to govt agencies, Bitta Karate’s wife Assbah Arzoomand was also involved as coordinator for funding terror activities. 

Shocking that it still took us 13 years to fire her from her Kashmir Administrative Services job!",Pro Ruling,"['kashmir', 'wife', 'karate']","[{'text': 'kashmir', 'score': 0.3639}, {'text': 'wife', 'score': 0.2568}, {'text': 'karate', 'score': 0.2264}]",kashmir,Pro Ruling,kashmir,Against ,the tone criticizes the government/system for taking 13 years to dismiss her
568573,"Look at the pattern.
I do a story on #ZaminJihad from Jammu&amp;Kashmir.
An FIR is filed against me in Kerala.
Threatening phone calls are made to me from Pakistan.
Does this add up? What is this nexus?
Request Pak PM @ImranKhanPTI to investigate the Pakistan link to this.",Pro Ruling,"['kashmir', 'calls', 'nexus']","[{'text': 'kashmir', 'score': 0.5686}, {'text': 'calls', 'score': 0.3664}, {'text': 'nexus', 'score': 0.246}]",kashmir,Pro Ruling,kashmir,Against ,Refers to coercive activity linked to Pakistan 
175529,"Nehru's stand for Kashmir??. It was Sardar patel who rescued Kashmir. Listen to veteran Sam Manekshaw
https://t.co/eAf0yuiDg9",Pro Ruling,"['kashmir', 'listen', 'veteran']","[{'text': 'kashmir', 'score': 0.5829}, {'text': 'listen', 'score': 0.2054}, {'text': 'veteran', 'score': 0.14}]",kashmir,Pro Ruling,kashmir,Neutral ,It is a personal opinion that indirectly concerns Kashmir 
2583281,"Today marks the third anniversary of the Pulwama terror attack in Kashmir where 40 bravehearts of CRPF sacrificed their life for the nation. Terror attack was the conspiracy of Pakistan based terror group Jaish e Muhammad of Masood Azhar.

Never forget.
Never forgive.

Prayers.🇮🇳 https://t.co/kKFqyhxMA8",Pro Ruling,"['kashmir', 'anniversary', 'bravehearts']","[{'text': 'kashmir', 'score': 0.4488}, {'text': 'anniversary', 'score': 0.3806}, {'text': 'bravehearts', 'score': 0.3037}]",kashmir,Pro Ruling,kashmir,For ,Evokes respectful emotions of a tragic act of terror 
751641,"Where are the great Human Rights Activists like?

* Aamir Khan
* Prakash Raj
* Arundhati Roy
* Swara Bhasker
* Gang of pseudo-feminists
* Omars &amp; Muftis of Kashmir

Scared of Talibanis?",Pro Ruling,"['activists', 'kashmir', 'scared']","[{'text': 'activists', 'score': 0.5594}, {'text': 'kashmir', 'score': 0.3658}, {'text': 'scared', 'score': 0.153}]",kashmir,Pro Ruling,kashmir,Against ,Sarcastically attacks popular Indian personalities  
887648,"This daughter of slain Kashmiri Pandit is showing the mirror to all terror apologists in Kashmir and beyond. Takes them to the cleaners. Just listen to her speak about the uneducated, illiterate Islamist terrorists who have over the years killed innocent Kashmiri Pandits. https://t.co/0J4BwiAWkD",Pro Ruling,"['kashmir', 'killed', 'mirror']","[{'text': 'kashmir', 'score': 0.5063}, {'text': 'killed', 'score': 0.2523}, {'text': 'mirror', 'score': 0.1741}]",kashmir,Pro Ruling,kashmir,For ,Supportive of Kashmiri Pandits and shows sympathy for the injustice towards them. 
2013587,"Watched #TheKashmirFiles yesterday, and well, now I get why @vivekagnihotri had told me in the interview that he'd want people to compare it with Haider. Both films have a young man from a 'liberal' university returning to Kashmir... and well, similarities end there. Numbing.",Pro Ruling,"['kashmir', 'both', 'numbing']","[{'text': 'kashmir', 'score': 0.5208}, {'text': 'both', 'score': 0.3509}, {'text': 'numbing', 'score': 0.0337}]",kashmir,Pro Ruling,kashmir,Neutral ,Opinion about a movie 
