source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
2563905,"#LynchingReality | Rahul Gandhi indulges in non-serious politics, this is a self-goal. 1984 was the worst kind of lynching that India saw: @gauravbh - National Spokesperson, BJP &amp; Sr. Advocate, SC
https://t.co/RZHKU3wOei",republic,Pro Ruling,pro ruling,lynching,"[{'text': 'lynching', 'score': 0.5845}, {'text': 'india', 'score': 0.4747}, {'text': 'goal', 'score': 0.1747}]"
237986,"Meet the man behind the Viral Photo of Mob Lynching- Mohammed Zubair. I urge you all to watch this #Mojo report. It will break your heart. ""Disgusting"", he says on ISIS using his image. Through tears he says he wants to ""forgive"" his assaulters. Here's why https://t.co/yNf2XFgOGK",BDUTT,Pro OPP,pro opposition,lynching,"[{'text': 'isis', 'score': 0.4552}, {'text': 'lynching', 'score': 0.3914}, {'text': 'heart', 'score': 0.1197}]"
4186361,"#योगी_का_जंगलराज
Uttar Pradesh: 
Police Investigation into Lynching Cases is Biased against Victims, Finds Report

BJP-RSS regimes are always biased against victims &amp; in favour of criminals

So #DefeatBJPSaveIndia

#BJP_हटाओ_देश_बचायो
#YogiHataoUPBachao 

https://t.co/LDmeVPLULl",geetv79,Pro OPP,pro opposition,lynching,"[{'text': 'lynching', 'score': 0.5177}, {'text': 'police', 'score': 0.45}, {'text': 'india', 'score': 0.4022}]"
6949423,"Both these cases won’t be called as lynching by media , This is just ‘Nyay’ delivered by Congress govt. https://t.co/GW6tfRP5CQ",PoliticalKida,Pro Ruling,pro ruling,lynching,"[{'text': 'lynching', 'score': 0.4809}, {'text': 'congress', 'score': 0.362}, {'text': 'delivered', 'score': 0.0922}]"
7537410,"Lynching of another Muslim by Hindu Supremacists - A 21-yr old Muslim youth has been lynched to death by cow vigilantes in Haryana, India.",ashoswai,Pro OPP,pro opposition,lynching,"[{'text': 'lynched', 'score': 0.6532}, {'text': 'muslim', 'score': 0.3571}, {'text': 'cow', 'score': 0.325}]"
469309,"The gruesome #PalgharMobLynching happened on 16th of April. The first videos were posted on SM on the 18th. Some outrage happened on the 20th and 21st, and by 22nd, we have already moved on? What if people kiIIed were not Hindu Sadhus but Christian priests or Izlamic MuIIahs?",ShefVaidya,Pro Ruling,pro ruling,lynching,"[{'text': 'lynching', 'score': 0.5237}, {'text': 'ghar', 'score': 0.2904}, {'text': 'priests', 'score': 0.2881}]"
3664454,"This is from the report of US think tank that says India is no more ‘free’. Blames “a spate of lynchings aimed at Muslims” for the drop in ranking. Report does not acknowledge conflict and suggests one-sided attack. 
Mohd Akhlaq matters. Rinku Sharma doesn’t. https://t.co/rmTq4HMbEe",swati_gs,Pro Ruling,pro ruling,lynching,"[{'text': 'india', 'score': 0.4993}, {'text': 'lynchings', 'score': 0.4048}, {'text': 'free', 'score': 0.1719}]"
3303553,"‘If he was mentally unstable, why didn’t he come under a bus’: AAP MP Bhagwant Mann on Kapurthala lynching victim

https://t.co/Jx12DiUImU",OpIndia_com,Pro Ruling,pro ruling,lynching,"[{'text': 'lynching', 'score': 0.4624}, {'text': 'mentally', 'score': 0.3904}, {'text': 'bus', 'score': 0.296}]"
2673346,"Lynching at Kapurthala Gurudwara: Bihar woman says victim was her brother, viral video suggests he was probably mentally unwell
https://t.co/4QdTzDd5G3",OpIndia_com,Pro Ruling,pro ruling,lynching,"[{'text': 'victim', 'score': 0.4931}, {'text': 'gurudwara', 'score': 0.4056}, {'text': 'brother', 'score': 0.3712}]"
7979261,"Remember the lynching of Intelligence Bureau staffer Ankit Sharma during 2020 Delhi riots? 

Delhi court has framed charges against AAP councillor Tahir Hussain for murder

“Ankit was killed because he was Hindu” - court said this week

But this is how Urduwood ganged up to save… https://t.co/1wCsVMLvy0 https://t.co/fKCzcdxkfA",GemsOfBollywood,Pro Ruling,pro ruling,lynching,"[{'text': 'lynching', 'score': 0.4704}, {'text': 'delhi', 'score': 0.3682}, {'text': 'save', 'score': 0.0003}]"
8137615,"Many such Scripted video wil widely be shared on WhatsApp which would create panic. There were several incidents of mob lynching in past few years because of Child Kidnapping rumours. 
CC : @DelhiPolice @Uppolice @mpcyberpolice @PoliceRajasthan @bihar_police @police_haryana",zoo_bear,Pro OPP,pro opposition,lynching,"[{'text': 'police_haryana', 'score': 0.4179}, {'text': 'whatsapp', 'score': 0.4034}, {'text': 'lynching', 'score': 0.3979}]"
849977,"Palghar lynching: Watched attack for 2 hrs, says Sarpanch https://t.co/QxxyZS9bm2",PadmajaJoshi,Pro Ruling,pro ruling,lynching,"[{'text': 'lynching', 'score': 0.6489}, {'text': 'attack', 'score': 0.4434}, {'text': 'palghar', 'score': 0.4411}]"
1017942,"They kill the sadhus &amp; then they kill the lawyer. They see foul play in the death of Justice Loya, but none in a sequence of unnatural deaths in the #PalgharLynching case #palgharcoverup 

https://t.co/SHrpvDZXNc",Iyervval,Pro Ruling,pro ruling,lynching,"[{'text': 'kill', 'score': 0.4385}, {'text': 'ghar', 'score': 0.3563}, {'text': 'sadhus', 'score': 0.2605}]"
3676493,"Two men confess to being key perpetrators of the lynching in Pakistan's Sialkot yesterday (they are speaking Punjabi). One of the left has been arrested, as tweeted by a Pakistani PMO official. They say Priyantha had torn poster of outfit Tehreek-e-Labbaik https://t.co/8n502pg35F",swati_gs,Pro Ruling,pro ruling,lynching,"[{'text': 'perpetrators', 'score': 0.5035}, {'text': 'punjabi', 'score': 0.4299}, {'text': 'key', 'score': 0.1175}]"
