source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
4955957,"• Muslim Mob attacked Dailts
• Mewalal Rai k*lled
• Pregnant Laxmi assaulted
• 3 yo child missing
• Only two peacefuls (Mohd Sakir, Ibrahim) arrested

This exposes the farce slogan ""Jai Meem-Jai Bheem""👇 https://t.co/tD1lVZbVTA",Pro Ruling,pro ruling,muslim,"[{'text': 'muslim', 'score': 0.6082}, {'text': 'arrested', 'score': 0.3411}, {'text': 'missing', 'score': 0.1593}]"
2637775,"Dont see any outrage over it in mainstream media.

Muslim Mob Sets a Mahadalit Basti on Fire in Bihar’s Purnea, 1 Dead: https://t.co/A9qqRu6P3o via @eOrganiser",Pro Ruling,pro ruling,muslim,"[{'text': 'muslim', 'score': 0.5438}, {'text': 'fire', 'score': 0.3827}, {'text': 'purnea', 'score': 0.264}]"
6044170,"a school in Nadiad offers  Namaaz Room for Muslim students, the school is run by Hindu in Hindu areas… as the audio clip goes viral parents ask authorities will you make similar arrangement for students to recite Hanuman Chalisa ??? Why are schools getting into this ?? https://t.co/ktbTMXRDrm",Pro Ruling,pro ruling,muslim,"[{'text': 'muslim', 'score': 0.4787}, {'text': 'schools', 'score': 0.3697}, {'text': 'viral', 'score': 0.115}]"
5654775,"This is outrageous.

In his column in Print, Vir Sanghvi says that any Muslim who associates with BJP is ""morally empty""

This is the kind of hatred and dehumanization that led to lynching of a Muslim BJP supporter in UP few days back

Shekhar Gupta you should apologize.",Pro Ruling,pro ruling,muslim,"[{'text': 'muslim', 'score': 0.5446}, {'text': 'apologize', 'score': 0.3515}, {'text': 'lynching', 'score': 0.2818}]"
7704522,"And who are you? Someone designated by Allah to judge others? We are answerable to Allah and only to Allah. To each his own. 
Till someone asks for your opinion, keep to yourself. And be a good Muslim. https://t.co/mKmIBtqM0x",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5728}, {'text': 'yourself', 'score': 0.3311}, {'text': 'judge', 'score': 0.1881}]"
6185417,"@Mrbrary An old (2015) video from Morocco shared as Muslim woman attacked in India (Al-Hind) due to #Hijab

This video is viral on whatsapp and facebook. If you come across this false claim, Do share @Altnews fact Check link below.
https://t.co/1LyHoPvXcz",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5204}, {'text': 'mrbrary', 'score': 0.2356}, {'text': 'altnews', 'score': 0.2053}]"
1969930,'Unsettling Silence': VHP Rally in MP Village Leads to Ransacking of Muslim Homes https://t.co/GFFdMrkQpS via @thewire_in,Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5951}, {'text': 'rally', 'score': 0.4239}, {'text': 'thewire_in', 'score': 0.1894}]"
6687620,"Support Family of Rupesh Pandey, 17-year-old only son of his parents was killed by Muslim Mob in Jharkhand during Saraswati Puja Murti Visarjan. 

If we are not going to support, no one would. Donate Generously and Share

https://t.co/9Ak4ebCHoI https://t.co/zLIsGSwBMC",Pro Ruling,pro ruling,muslim,"[{'text': 'muslim', 'score': 0.5151}, {'text': 'donate', 'score': 0.3482}, {'text': 'pandey', 'score': 0.1594}]"
575829,"34 Muslim's arrested in UP ""Love Jihad"" Law!!

Total 11 FIRs have been filed under UP Conversion Law with fresh cases registered in Shahjahanpur &amp; Kannauj, meaning it has been invoked approximately once every 48 hours since it became a law on November 27!! https://t.co/L7HyDdraA2",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.559}, {'text': 'arrested', 'score': 0.3703}, {'text': 'registered', 'score': 0.1895}]"
5922299,BHU VC Sudheer Kumar Jain posing with Muslim women students during Iftar in the women's college campus in Varanasi. A picture of Goddess Saraswati on the wall behind them. https://t.co/EIhEpFe9Y2,Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.4923}, {'text': 'women', 'score': 0.4651}, {'text': 'campus', 'score': 0.3589}]"
6963239,"AAP and Mr Kejriwal are yet to speak up for Amanatullah Khan. Unless you're a Manish Sisodiya or a Satender Jain, your freedom doesn't matter to your party. And God save you if you're a Muslim. 
#StrategicSilence https://t.co/YTEPnYTKrF",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5547}, {'text': 'silence', 'score': 0.3361}, {'text': 'party', 'score': 0.2332}]"
5603263,"In November Akhilesh mentioned 'Jinnah' in one of his political rally. The clip was cropped &amp; shared out of context which went viral on social media. 
Two Months later, #ImandarAnjana  wants a response from a Muslim for what Akhilesh said in his rally. 🤢
https://t.co/Ehb4yYBBgE",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.6285}, {'text': 'rally', 'score': 0.3645}, {'text': 'months', 'score': 0.091}]"
5557428,"Hi @CollecterK:

Under whose authorization &amp; which legal provision were Muslim homes demolished in Khargone today?

Pls have an answer by tomorrow because I’m formally sending you a representation &amp; a letter petition to MP High Court.

Pls ask political “bosses” if they’ll help.",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.581}, {'text': 'demolished', 'score': 0.3063}, {'text': 'collecterk', 'score': 0.3046}]"
168446,"For a bigot like you, every Muslim would appear like a terrorist. Shameful that you would condone the communal slur on @MaskoorUsmani. I will defend every such innocent person slandered by bigots like you. Won't respond to  your slander against me. That's what you live for. https://t.co/uq8nl2e83l",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.63}, {'text': 'slandered', 'score': 0.38}, {'text': 'every', 'score': 0.1136}]"
2694425,‘Muslim Superstar’ https://t.co/Yjf6HPVf5z,Pro Ruling,pro ruling,muslim,"[{'text': 'muslim', 'score': 0.7593}, {'text': 'superstar', 'score': 0.6161}]"
7505886,"A Hindu supremacist creates a fake social media Muslim id, posts hate messages against Hindus, Hindu supremacists burn down Muslim houses and shops in Maharashtra, India. https://t.co/8PD5OMTYtP",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5743}, {'text': 'supremacists', 'score': 0.4994}, {'text': 'posts', 'score': 0.278}]"
5533420,"In India, as I have been saying, a cow’s life is more important than a Muslim’s life! In UP, a Muslim driver is brutally being beaten by Hindu right-wing mob over accusations of carrying beef in his vehicle! https://t.co/X4ZM9w0CNJ",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.4914}, {'text': 'cow', 'score': 0.4431}, {'text': 'driver', 'score': 0.2031}]"
6483923,"So the Shiv Sena and the BJP are fighting over ‘We demolished the Babri, not you’. This is where the Indian Muslim stands today.",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.6226}, {'text': 'demolished', 'score': 0.2486}, {'text': 'today', 'score': 0.1465}]"
7896883,Has the bhakt mandali started off with it’s google searches on Obama+Muslim?,Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5312}, {'text': 'google', 'score': 0.4758}, {'text': 'started', 'score': 0.2175}]"
6276208,"'Let it be Vishu or Onam, we went to each other's House. Never saw ouselves aa Hindu or Muslim, we lived with Harmony.' ~Neighbour of siddique Kappan https://t.co/diIoBcV2D8",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5702}, {'text': 'harmony', 'score': 0.4642}, {'text': 'house', 'score': 0.3355}]"
5579626,"Dr. Jagdish Hiremath, @Kaalateetham is MD, DM, DNB President of the Cardiology Society of India, Also Founder CEO at ACE HealthCare. 
The hate for Muslims shows in his regular Anti Muslim tweets based in Fake News. 🤡🤮🤮🤢 https://t.co/KoFAhPH2pn",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.5716}, {'text': 'hiremath', 'score': 0.2947}, {'text': 'tweets', 'score': 0.1606}]"
2177006,"Since I am cursed, I think at least once a day about the muslim child brutally beaten up for drinking water from a temple. His shock at being slapped when he answers- paani peene gaya tha. Such a memory also makes many debates non debates for me. It makes many things simpler.",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.6138}, {'text': 'slapped', 'score': 0.3606}, {'text': 'memory', 'score': 0.2149}]"
2109300,"@sardesairajdeep @nawabmalikncp Rajdeep, that’s because when a Muslim converts to Hinduism he cannot claim reservation. That is what is being alleged here. That’s a crime and such fraud, if it has happened, is investigated by the CBI usually.",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.497}, {'text': 'fraud', 'score': 0.4582}, {'text': 'reservation', 'score': 0.3677}]"
9416,"On the night of May 22, 1987, about 45 Muslim men from Hashimpura, a settlement in Meerut, were rounded up and packed into the rear of a truck of the Provincial Armed Constabulary (PAC). (Source: Praveen Jain) https://t.co/jAobAKoBZA",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.4688}, {'text': 'truck', 'score': 0.3005}, {'text': 'provincial', 'score': 0.188}]"
6318647,"@rahulreporter4 Contrary to claims made on social media by some journalists and a BJP youth leader, it was pantry staff and not Muslim co-passengers who beat up an ex-serviceman on the Swarna Jayanti Express. 
https://t.co/F8mLmJEkAS",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.4003}, {'text': 'passengers', 'score': 0.1842}, {'text': 'pantry', 'score': 0.1475}]"
795793,"One guy in the room suggests her how to get rid of problem by Muslim COVID-19 patients... ""Ma'am, Ek Injection lagwa dijiye hahaha.. Ek ek karke.. dheere dhere..."" 

BTW, Dr Arati dave lalchandani is
Principal of Ganesh Shankar Vidyarthi Medical College in Kanpur. https://t.co/qBN7kjyHoj",Pro OPP,pro opposition,muslim,"[{'text': 'muslim', 'score': 0.4845}, {'text': 'dr', 'score': 0.4701}, {'text': 'rid', 'score': 0.2256}]"
