source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,STANCE ,Reasoning 
1964686,"Liberal Logic:
Farm laws passed by anti-farmers.
CAA passed by anti-Muslims. 
PoW Act, 1991 passed by parliament.",Pro Ruling,pro ruling,farm laws,"['farmers', 'liberal', 'muslims']","[{'text': 'farmers', 'score': 0.4913}, {'text': 'liberal', 'score': 0.4652}, {'text': 'muslims', 'score': 0.4147}]",For ,suggests that liberal logic is absurd. 
102351,"""Farm laws opened up doors of new opportunities for farmers.""
https://t.co/qoUSoLYeCo
#MannKiBaat 
@PMOIndia @TimesNow https://t.co/qqp466gCvR",Pro Ruling,pro ruling,farm laws,"['farmers', 'doors', 'timesnow']","[{'text': 'farmers', 'score': 0.6195}, {'text': 'doors', 'score': 0.2646}, {'text': 'timesnow', 'score': 0.237}]",For ,farm laws = better opportunities for farmers.
938470,"Protesters enter Delhi’s #RedFort and wave their flags from the ramparts 
#FarmLaws #FarmersProtests #TractorRally 
https://t.co/uPFQqZdbKN",Pro OPP,pro opposition,farm laws,"['protesters', 'tractor', 'enter']","[{'text': 'protesters', 'score': 0.5645}, {'text': 'tractor', 'score': 0.3536}, {'text': 'enter', 'score': 0.1603}]",Neutral ,"no stance taken, only news delivered."
577584,"@RahulGandhi @SaralPatel #IndiaWithFarmers 
Crony Sevak with his bosses
#SuitBootKiCorruptSarkar with the Adani-Ambani Farm Laws. 

#AmbaniAdaniKaPM

#SuitBootLootKiSarkar 
#ModiHaiAmbaniKa https://t.co/8IwgpuRuoV",Pro OPP,pro opposition,farm laws,"['rahulgandhi', 'bosses', 'boot']","[{'text': 'rahulgandhi', 'score': 0.5958}, {'text': 'bosses', 'score': 0.3238}, {'text': 'boot', 'score': 0.0261}]",Against ,shows that modi supports capitalists like Adani and is looting the farmers with his crony activities. 
554923,"Mr P Chidambram: 

If farm bills r really good then Why the most productive farmers of India- who come from Punjab &amp; Haryana - are on streets?

And we aren’t talking about marginal farmers, v r talking about most productive farmers in country, who are protesting against Farm Laws",Pro OPP,pro opposition,farm laws,"['farmers', 'india', 'bills']","[{'text': 'farmers', 'score': 0.5812}, {'text': 'india', 'score': 0.3498}, {'text': 'bills', 'score': 0.189}]",Against ,questioning goodness of farm laws.
1406151,"Gopal Singh Chawla, a close aide of Hafiz Saeed and a Khalistani terrorist announces a tractor rally in Pakistan against India’s farm laws.

Goes on to further explain the authenticity of the ongoing farmers’ protests. After all, you are known by the kind of support, you attract.",Pro Ruling,pro ruling,farm laws,"['rally', 'tractor', 'india']","[{'text': 'rally', 'score': 0.4934}, {'text': 'tractor', 'score': 0.4588}, {'text': 'india', 'score': 0.2981}]",For ,shows that farmer protesting is actually a close aid of khalistani terrorist. 
707585,"So, Protestors also vandalized the tableaux of UP: Ram Mandir and Uttarakhand: Kedarnath Temple, which were displayed in the Republic Day parade.

Are these our Anndatas?

And, what's the relation between Ram Mandir and Kedarnath Temple with 3 Farm laws? Please tell anyone",Pro Ruling,pro ruling,farm laws,"['temple', 'vandalized', 'protestors']","[{'text': 'temple', 'score': 0.5796}, {'text': 'vandalized', 'score': 0.4427}, {'text': 'protestors', 'score': 0.3284}]",For ,shows how protestors are vandalising temples. 
816313,"This #Rajasthan #farmer rightly predicted that nothing will come out of yesterday's meeting of farmers with @PMOIndia ! Come out of your homes, we are 5 Km from #Dharuheda #Haryana; help your fellow farmers, help yourself, says this farmer ! #FarmerProtests #FarmLaws https://t.co/QEGxwooYV0",Pro OPP,pro opposition,farm laws,"['farmer', 'haryana', 'protests']","[{'text': 'farmer', 'score': 0.553}, {'text': 'haryana', 'score': 0.4165}, {'text': 'protests', 'score': 0.1817}]",Against ,encouraging citizens to help farmers protesting against farm laws. 
1750524,"No record of the death of farmers during protests against farm laws, hence no question of compensation: Govt informs Parliament

https://t.co/i2tLFitdFU",Pro Ruling,pro ruling,farm laws,"['farmers', 'death', 'protests']","[{'text': 'farmers', 'score': 0.4718}, {'text': 'death', 'score': 0.4054}, {'text': 'protests', 'score': 0.2977}]",For ,shows there is no record of death of farmers. 
836180,"Farmers in #Punjab and #Haryana burnt copies of farm laws in “Lohri bonfire” as a mark of protest and shouted slogans against the Union government even as several farmers in tractor-trolleys continued to head for Delhi to participate in ‘tractor parade.’ 
https://t.co/jv01N16XY6",Pro OPP,pro opposition,farm laws,"['farmers', 'burnt', 'protest']","[{'text': 'farmers', 'score': 0.5214}, {'text': 'burnt', 'score': 0.4201}, {'text': 'protest', 'score': 0.2423}]",Neutral ,"no stance taken, only news delivered."
