source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,Stance ,Reasoning ,Unnamed: 10
1671619,GOI busts another Congress Propaganda; #COVAXIN does not contain Newborn Calf Serum at all as calf serum is not an ingredient of the final vaccine product : Statement Health Ministry https://t.co/lFs6FlU3hU,Pro Ruling,"['calf', 'vaccine', 'congress']","[{'text': 'calf', 'score': 0.4501}, {'text': 'vaccine', 'score': 0.4395}, {'text': 'congress', 'score': 0.1727}]",congress,Pro Ruling,congress,Against ,"discussing the ""busting"" of another congress propoganda. ",
1094703,#BREAKING : Delhi High Court issues notice to Congress leaders Rahul Gandhi and Sonia Gandhi in the National Herald Case.,Pro Ruling,"['congress', 'delhi', 'court']","[{'text': 'congress', 'score': 0.4094}, {'text': 'delhi', 'score': 0.4082}, {'text': 'court', 'score': 0.4044}]",congress,Pro Ruling,congress,Against ,involvement of judiciary against congress leaders. issueing a notice. ,
746876,"Congress Spokesperson, Chhattisgarh https://t.co/ZCfdHk9GBH",Pro Ruling,"['chhattisgarh', 'congress', 'spokesperson']","[{'text': 'chhattisgarh', 'score': 0.7176}, {'text': 'congress', 'score': 0.638}, {'text': 'spokesperson', 'score': 0.4004}]",congress,Pro Ruling,congress,neutral ,"no stance taken, only news delivered. ",
1681524,"Congress getting perfect example of 'Those who dig a pit for others, fall in it themselves' https://t.co/K3TQeGuDTw",Pro Ruling,"['congress', 'pit', 'perfect']","[{'text': 'congress', 'score': 0.6144}, {'text': 'pit', 'score': 0.3746}, {'text': 'perfect', 'score': 0.244}]",congress,Pro Ruling,congress,Against ,saying that congress wished ill upon others and hence faced problems itself. ,
528343,"Sonia Gandhi &amp; Congress must clear their stand on Kashmir. 

Rahul Gandhi congratulating photographers who were awarded considering Kashmir isn’t integral part of India is a cruel joke. #पप्पू_तो_गद्दार_है",Pro Ruling,"['kashmir', 'congress', 'congratulating']","[{'text': 'kashmir', 'score': 0.5229}, {'text': 'congress', 'score': 0.2764}, {'text': 'congratulating', 'score': 0.2202}]",congress,Pro Ruling,congress,Against ,"demanding that congress clear its stance on kashmir. calls Rahul Gandhi's action of congratulating ""a cruel joke"".",
2816637,"People taunting @BJP4India for lack of action on issues dear to #Hindus and showing it how #Congress is ruthless in implementing its anti-Hindu agenda have a point. One may crib about language of some, but not the language. They have show same ruthlessness in MP, Raj recently.",Pro Ruling,"['hindus', 'congress', 'taunting']","[{'text': 'hindus', 'score': 0.6228}, {'text': 'congress', 'score': 0.4098}, {'text': 'taunting', 'score': 0.4062}]",congress,Pro Ruling,congress,Against ,saying that congress is also equally as ruthless as bjp.,
1158272,Aam Aadmi Party is proving to be even worse than Congress with the kind of leaders they Support. https://t.co/nOLzueBvKL,Pro Ruling,"['worse', 'congress', 'aam']","[{'text': 'worse', 'score': 0.5528}, {'text': 'congress', 'score': 0.2468}, {'text': 'aam', 'score': 0.2374}]",congress,Pro Ruling,congress,Against ,congress as a benchmark of bad parties. ,
1002202,"Silver lining !!

Congress is getting total wiped out in this Sena 🆚️  BJP ( Rane) battle in the Mumbai MMR region.",Pro Ruling,"['congress', 'mumbai', 'wiped']","[{'text': 'congress', 'score': 0.5539}, {'text': 'mumbai', 'score': 0.3865}, {'text': 'wiped', 'score': 0.3134}]",congress,Pro Ruling,congress,Against ,"sees congress decline as a ""silver lining"".",
2006013,"Since Many of my Congressi friends quoting Subramaniam Swamy's tweets as the last source of truth on GDP.

This is what Swamy has to say about Sonia Gandhi. 

*Pls note - I don't subscribe to such views. Posted this video just to show Congress coolies how crass can he get https://t.co/5w3iXSPQW1",Pro Ruling,"['congress', 'tweets', 'swamy']","[{'text': 'congress', 'score': 0.4074}, {'text': 'tweets', 'score': 0.2967}, {'text': 'swamy', 'score': 0.0891}]",congress,Pro Ruling,congress,Against ,"attaching proof on how crass congress leaders can get. calling followers ""congress coolies"". ",
333396,"गयी भैंस पानी में ! 

@RahulGandhi to be once again the Congress Chief .

@BJP4India Heartiest Congratulations.",Pro Ruling,"['rahulgandhi', 'congress', 'congratulations']","[{'text': 'rahulgandhi', 'score': 0.4816}, {'text': 'congress', 'score': 0.4248}, {'text': 'congratulations', 'score': 0.3481}]",congress,Pro Ruling,congress,Against ,sarcastically implies that appointing rahul gandhi as chief of congress is beneficial for bjp. ,
