source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
769705,This govt can't even pay people's salaries. Why is getting a new Parliament House a bigger necessity than people's salary?,Pro OPP,pro opposition,new parliament,"[{'text': 'parliament', 'score': 0.5144}, {'text': 'salary', 'score': 0.2471}, {'text': 'new', 'score': 0.1396}]"
7538017,"""Boycotting inauguration of new parliament building not in true spirit of democracy,"" says Andhra CM Jagan Reddy 

Read @ANI Story | https://t.co/TqkMGPDfVl
#AndhraCM #JaganReddy #Democracy #ParliamentBuilding #Parliament https://t.co/fJtAMWdRf0",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.641}, {'text': 'inauguration', 'score': 0.4617}, {'text': 'new', 'score': 0.2644}]"
8125519,My article in today’s TOI about the importance of building the new Parliament building. https://t.co/pPkYt2vG6S,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6087}, {'text': 'new', 'score': 0.341}, {'text': 'importance', 'score': 0.3315}]"
879424,Glance through to know the importance of the new Parliament Building and why it is being built. #NewParliament4NewIndia https://t.co/UH0BJeIGlW,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6207}, {'text': 'india', 'score': 0.3962}, {'text': 'new', 'score': 0.3057}]"
7963896,"In today’s parliament yatra witness the cultural aspect of ‘Varanasi’.

Varanasi in itself a manifestation of India’s spiritual journey spread over thousands of years and hence finds special place in the new parliament building. 

#CultureUnitesAll #MyParliamentMyPride https://t.co/A1H5Q3Nmyr",Pro Ruling,pro ruling,new parliament,"[{'text': 'yatra', 'score': 0.4955}, {'text': 'parliament', 'score': 0.4135}, {'text': 'india', 'score': 0.3175}]"
8287774,Invites being sent out for the inauguration of #NewParliamentBuilding on 28th May 2023. All MPs being sent the invites by @LokSabhaSectt https://t.co/CPdN0qv18O,Pro Ruling,pro ruling,new parliament,"[{'text': 'invites', 'score': 0.5631}, {'text': 'parliament', 'score': 0.5135}, {'text': 'new', 'score': 0.1891}]"
5950976,Why does the Centre not want this peaceful yatra of the Dalits to reach Delhi and hand over the 1000-kg brass coin for the new Parliament building? Why? https://t.co/bB3M8XjCGP,Pro OPP,pro opposition,new parliament,"[{'text': 'delhi', 'score': 0.4539}, {'text': 'coin', 'score': 0.4024}, {'text': 'parliament', 'score': 0.3918}]"
587723,"BREAKING: Supreme Court allows Central Government to go ahead with Foundation Stone laying ceremony, while noting that no construction, demolition or felling of trees shall take place at the Central Vista site. 

#CentralVista #construction #SupremeCourt #NewParliamentBuilding https://t.co/vGodGQZzSX",Pro OPP,pro opposition,new parliament,"[{'text': 'foundation', 'score': 0.4642}, {'text': 'court', 'score': 0.2983}, {'text': 'felling', 'score': 0.2665}]"
1062048,The monstrous New India would require a monstrous looking New Parliament Structure ‘Dhancha’ #NewParliament,Pro OPP,pro opposition,new parliament,"[{'text': 'parliament', 'score': 0.5385}, {'text': 'india', 'score': 0.3844}, {'text': 'monstrous', 'score': 0.303}]"
7688583,"President and Vice President of India likely to release message on inauguration day of new Parliament

Read @ANI Story | https://t.co/ldcvcjwDQe
#NewParliamentBuilding #Parliament https://t.co/NXVuGCkDFX",Pro Ruling,pro ruling,new parliament,"[{'text': 'inauguration', 'score': 0.4206}, {'text': 'india', 'score': 0.3333}, {'text': 'message', 'score': 0.315}]"
74830,Lok Sabha Speaker Shri @ombirlakota  reviewed ongoing construction work of new Parliament Building; directed agencies concerned to be vigilant of the heritage character of the present Building. He also emphasised on general cleanliness &amp; proper upkeep of Parliament House Complex. https://t.co/YkvxdvHXDF,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5012}, {'text': 'cleanliness', 'score': 0.3272}, {'text': 'amp', 'score': 0.1327}]"
648594,"#DoYouKnow, the new Parliament Building will have two separate designated entrances that will provide secure access to the Public Galleries. #NewParliament4NewIndia https://t.co/o1VDgqOwzg",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5592}, {'text': 'secure', 'score': 0.2582}, {'text': 'india', 'score': 0.2334}]"
8169544,"🚨 India's New Parliament from May 28th, 2023. https://t.co/PMgC3VSjb8",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.62}, {'text': '2023', 'score': 0.5076}, {'text': 'india', 'score': 0.2529}]"
7873742,Opposition parties who boycotted president's address to Parliament are now asking why President is not inaugurating new parliament building. 🤦🏻‍♂️😂,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5038}, {'text': 'boycotted', 'score': 0.2996}, {'text': 'new', 'score': 0.2275}]"
7577911,VIDEO | The new Parliament building is all set for inauguration. A new chapter begins as hope and aspirations converge on this grand structure. We explore the constitutional &amp; the civilisational aspects of the design of this marvel. #MyParliamentMyPride #NewParliamentInauguration https://t.co/HHspedtOZv,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6207}, {'text': 'begins', 'score': 0.3464}, {'text': 'video', 'score': 0.227}]"
7855909,Another example of how Congress doesn’t respect recommendation of Meira Kumar led LS committee that decided in favour of new parliament building. Earlier they had problem with OBC s but now it seems they don’t want to respect their own SC leader’s decision and intellect as well.… https://t.co/nv8Sg4JTGf,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.4945}, {'text': 'respect', 'score': 0.3102}, {'text': 'recommendation', 'score': 0.0795}]"
8115766,Short Films on New Parliament are good. It should be dubbed in all languages by concerned department to increase its impact.,Pro Ruling,pro ruling,new parliament,"[{'text': 'films', 'score': 0.4098}, {'text': 'languages', 'score': 0.3169}, {'text': 'increase', 'score': 0.1549}]"
304724,"Do you know?

The theme of the Rajya Sabha is inspired by the National Flower of India - the Lotus, in the New Parliament Building.

#NewParliament4NewIndia #NewParliamentBuilding https://t.co/TlubXau6oP",Pro Ruling,pro ruling,new parliament,"[{'text': 'india', 'score': 0.5316}, {'text': 'parliament', 'score': 0.4426}, {'text': 'theme', 'score': 0.4409}]"
3167513,"Last year, when other countries were ramping up their health infrastructure to fight COVID, our Govt was laying the foundation stone for new Parliament building, project that would cost Rs 20,000 crores.

Let that sink in.",Pro OPP,pro opposition,new parliament,"[{'text': 'foundation', 'score': 0.4363}, {'text': 'cost', 'score': 0.2279}, {'text': 'sink', 'score': 0.0831}]"
8154319,"#WATCH | The ceremony begins with National Anthem in the Lok Sabha chamber of the new #ParliamentBuilding 

Members of Parliament, CMs of different States and other dignitaries present.

#MyParliamentMyPride https://t.co/U6I3uUfA91",Pro Ruling,pro ruling,new parliament,"[{'text': 'ceremony', 'score': 0.6149}, {'text': 'national', 'score': 0.4662}, {'text': 'watch', 'score': 0.3306}]"
7539996,Historic sceptre 'Sengol' to be placed in new Parliament building: Amit Shah - https://t.co/aOMIuaamPV,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.3941}, {'text': 'shah', 'score': 0.3165}, {'text': 'placed', 'score': 0.2795}]"
7513962,"🇮🇳 A majestic masterpiece stands tall! 

The new building of Parliament of India is a true marvel of architecture and a symbol of our democratic spirit. A proud milestone in our journey as a democratic nation!   

#MyParliamentMyPride #NewParliamentBuilding
#SengolInParliament https://t.co/UkZ2cJ4c87",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5941}, {'text': 'tall', 'score': 0.3378}, {'text': 'india', 'score': 0.3284}]"
1305739,Brief video of the new parliament building being made by Government of India. https://t.co/uVn4XYNLFS,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6078}, {'text': 'video', 'score': 0.42}, {'text': 'india', 'score': 0.4178}]"
7689467,"After HM @AmitShah briefing yesterday, today a detailed briefing on #SengolAtNewParliament will take place in Chennai at Raj Bhawan in the presence of FM @nsitharaman MoS I &amp; B @Murugan_MoS Guv TN, RN Ravi, @DrTamilisaiGuv Guv of Telangana &amp; La Ganesan, Nagaland Guv",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5245}, {'text': 'new', 'score': 0.2942}, {'text': 'drtamilisaiguv', 'score': 0.1196}]"
8146032,"When is the darpok who needs a secret underground tunnel from his new residence to the new parliament, taking a train to Manipur? https://t.co/a8ITUsNFOL",Pro OPP,pro opposition,new parliament,"[{'text': 'tunnel', 'score': 0.574}, {'text': 'parliament', 'score': 0.3165}, {'text': 'his', 'score': 0.2181}]"
3284500,"It was UPA that felt New Parliament was essential in 2012

“We badly need a new parliament building. This one simply isn’t functional and is outdated,”: Jairam Ramesh

Ex-Lok Sabha Speaker Meira Kumar had accorded approval of new Parliament building- https://t.co/Yee3xrI0v3

6/n https://t.co/mygy2rKrck",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6354}, {'text': 'new', 'score': 0.343}, {'text': 'felt', 'score': 0.0822}]"
8304756,"Shiv Sena Ousts Sanjay Raut, Appoints New Parliamentary Party Leader https://t.co/kjBg6Q52sJ https://t.co/ub29m318zp",Pro OPP,pro opposition,new parliament,"[{'text': 'leader', 'score': 0.3365}, {'text': 'new', 'score': 0.1992}, {'text': 'party', 'score': 0.1746}]"
934615,"Beautiful building 

#NewParliament4NewIndia https://t.co/A1oVhMkMZg",Pro Ruling,pro ruling,new parliament,"[{'text': 'building', 'score': 0.6341}, {'text': 'india', 'score': 0.4419}, {'text': 'new', 'score': 0.226}]"
841557,As constitutionally appointed head of both Houses of Parliament the President of India should have been present on stage &amp; spoken on the occasion of laying of foundation stone of new Parliament building. His absence was noticed by many.,Pro OPP,pro opposition,new parliament,"[{'text': 'president', 'score': 0.5019}, {'text': 'india', 'score': 0.3402}, {'text': 'houses', 'score': 0.1852}]"
8264078,"The #Sengol in #NewParliament will be a symbol of the rule of just, fair and equitable governance.

#SengolAtNewParliament https://t.co/ixqN3otYNK",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6477}, {'text': 'symbol', 'score': 0.3663}, {'text': 'new', 'score': 0.2882}]"
5794592,Those criticising the ‘new’ Ashoka’s Lion Capital atop new Parliament House are ignoramuses. Those reporting and amplifying bunk are mindless … https://t.co/2NSLWBRQy7 https://t.co/5jTzITy1df,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.471}, {'text': 'criticising', 'score': 0.3912}, {'text': 'mindless', 'score': 0.2863}]"
8105899,"#WATCH | Rajya Sabha Deputy Chairman Harivansh reads out a message of President #DraupadiMurmu in the #NewParliamentBuilding 

#MyParliamentMyPride https://t.co/TKzHUPd7pu",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6004}, {'text': 'pride', 'score': 0.3309}, {'text': 'deputy', 'score': 0.2434}]"
498521,"#DoYouKnow, the new Parliament building will be accessible to all the citizens. #NewParliament4NewIndia https://t.co/gVBnVGmiUV",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6041}, {'text': 'india', 'score': 0.3366}, {'text': 'new', 'score': 0.3075}]"
304733,"Do you know?

The New Parliament Building will match the needs and aspirations of ‘New India’ in the 75th anniversary of independence in 2022.

#NewParliament https://t.co/cCzLwNXjoo",Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.57}, {'text': 'india', 'score': 0.3535}, {'text': '2022', 'score': 0.3076}]"
