keyword,bert,roberta,mistral_base,mistral_fewshot,mistral_lora
caa,31.58,57.89,42.11,52.63,89.47
china,52.63,52.63,68.42,78.95,73.68
congress,50.0,55.56,88.89,88.89,88.89
farm laws,45.45,36.36,36.36,45.45,72.73
farmers protests,50.0,50.0,70.0,70.0,80.0
hindu,66.67,66.67,28.57,20.0,66.67
hindutva,71.43,78.57,57.14,64.29,85.71
kashmir,64.71,47.06,47.06,52.94,58.82
kashmiri pandits,68.75,68.75,31.25,37.5,62.5
modi,77.78,83.33,83.33,88.89,94.44
muslim,40.0,40.0,55.0,63.16,78.95
new parliament,47.62,61.9,73.68,80.95,85.71
rahulgandhi,62.5,62.5,64.29,68.75,81.25
ram mandir,52.38,52.38,55.56,61.9,71.43
shaheen bagh,57.89,57.89,58.82,63.16,78.95
