source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
3180153,Hindutva knows ONLY about Savarkar and Godse....do they know about a single freedom fighter from Odisha or Assam or Nagaland or Manipur ? Maybe a female freedom fighter? Do they know any freedom fighter who was LGBTQ+?,Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.4703}, {'text': 'fighter', 'score': 0.3804}, {'text': 'lgbtq', 'score': 0.2531}]"
1085882,For long I have believed (and still largely believe) that anti-Hindutva forces are driven by pure hatred and not money. But such really low brow activity makes me wonder if 2 rs per tweet is actually the rate they get https://t.co/c4N8EXjfBp,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.4058}, {'text': 'rate', 'score': 0.3294}, {'text': 'tweet', 'score': 0.3172}]"
2215546,"Even if someone is opposed to Hindutva, how can a rational person call Hindutva a GLOBAL threat?

Hindus are a micro-minority in most countries

DGH conference trying to say that this micro-minority has plans to take over the world

This is exactly how Nazis defamed Jewish people",Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.4774}, {'text': 'threat', 'score': 0.3957}, {'text': 'jewish', 'score': 0.3046}]"
3416009,"Mil gaya !

Mil gaya !

Janab Sena ka Hindutva ka certificate mil gaya !

Look at the letter written by Janab Sena MP Rahul Shewale to name Ghatkopar-Mankhurd flyover after a Godman from Ajmer!

What’s the connection?

This? 

Cause                                 Effect https://t.co/3zBg29Rvo9",Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.475}, {'text': 'letter', 'score': 0.3609}, {'text': 'flyover', 'score': 0.3207}]"
7595796,"Most Hindutva folks aspire to be Ravan (take away brother's property, steal another man's wife, mock educated 'monkeys', demand unquestioning loyalty from fans and followers) 

Hence their devotion to Ram is a choreographed performance.",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.5584}, {'text': 'fans', 'score': 0.3055}, {'text': 'monkeys', 'score': 0.2825}]"
1323379,"Is Dalit happy with this regime?
Is Minority happy with this regime?
Is Youth happy with this regime?
Is Students happy with this regime?
Is Poor/Middle class happy? 

When all of them r unhappy how they still win?

They play on nationalism&amp;Hindutva, which is just brainwash! https://t.co/tO6rH80OKj",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.3586}, {'text': 'regime', 'score': 0.3242}, {'text': 'unhappy', 'score': 0.2591}]"
5873976,"🔸With Eknath Shinde Ji as CM.... Career of One more Thackeray is Finished. Who? Raj Thackeray. His last left ""Hindutva Card"" is also gone with Eknath Shinde Ji saying ""I'm going to carry forward Balasaheb's Hindutva &amp; Anand Dighe Ji's Teachings"" and this means....

(18/21)",Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.5205}, {'text': 'gone', 'score': 0.3669}, {'text': 'card', 'score': 0.1579}]"
2583490,"‘Hindutva is like a British football-team hooligan’: Shashi Tharoor |

Hindutva = ISIS BOKO Haram: Salman Khursheed 

Hindutva = violence against Muslims &amp; Sikhs : Rahul Gandhi 

Hindutva is way of life : Supreme Court  https://t.co/qyu3XsSSxO",Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.6528}, {'text': 'hooligan', 'score': 0.3849}, {'text': 'football', 'score': 0.2305}]"
7441630,"""If you read Savarkar – and Golwalkar even more – you will find the same ideas as those which Hindutva leaders articulate today: the reading of history is the same, the enemies are the same, the objective is the same."" | @jaffrelotc to @AjoyAshirwad

https://t.co/UHGT88UgGc",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.5691}, {'text': 'enemies', 'score': 0.3356}, {'text': 'jaffrelotc', 'score': 0.2199}]"
8262939,"@ShashiTharoor @Rajeev_GoI The Hindutvavadis’ critique of the Constitution is a fundamental one; their idea of its flaws lies in their core belief in the idea of a Hindutva Rashtra, as opposed to the civic nationalism enshrined in the Constitution of India. https://t.co/VJYijEmPya",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.567}, {'text': 'constitution', 'score': 0.4184}, {'text': 'flaws', 'score': 0.3116}]"
2018430,"""There is nothing like Savarkar's Hindutva, or Vivekananda's Hindutva,. Hindutva is one, it is Sanatan which will last till the end."" : Sarsanghchalak Mohan Bhagwat

@DrMohanBhagwat #SavarkarBookLaunch #VeerSavarkar https://t.co/t7IROS8YTt",Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.5959}, {'text': 'will', 'score': 0.3393}, {'text': 'nothing', 'score': 0.2259}]"
4253647,"I wish Hindutva stepped in and got rid of COVID
But Hindutva cannot do anything there
No Masterstroke
No Diversion
No poster
No trickery
Just Helpless
Lost
Frightened
😞😞😞",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.5247}, {'text': 'rid', 'score': 0.3626}, {'text': 'frightened', 'score': 0.2749}]"
7196672,"#OPINION | India, whose aeons of history were again repeating themselves in epics of spiritual grandeur, writes Ramachandra Guha Read on...
#Hindutva #MiraBehn #mahatmagandhi 
https://t.co/wpucDhjgqR",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.6916}, {'text': 'repeating', 'score': 0.2889}, {'text': 'opinion', 'score': 0.2036}]"
258434,"They killed our soldiers. 
They took our land.
Hindutva decided to not eat noodles.",Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.3704}, {'text': 'soldiers', 'score': 0.2264}, {'text': 'killed', 'score': 0.22}]"
