source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
3047229,"25 years of struggle for Ram Mandir, BJP played dirty politics to stop the construction

BJP politics is all about Hate, Not love to Ram.

https://t.co/E1WjgmCnvP",Pro OPP,pro opposition,ram mandir,"[{'text': 'hate', 'score': 0.4759}, {'text': 'ram', 'score': 0.406}, {'text': 'construction', 'score': 0.1821}]"
2180701,"Come 2024 and A Grand Majestic Ram Mandir will wash away all the sufferings and pain caused by Covid mismanagement.

He knows that. He is counting on that.",Pro OPP,pro opposition,ram mandir,"[{'text': 'ram', 'score': 0.4141}, {'text': '2024', 'score': 0.3929}, {'text': 'sufferings', 'score': 0.2827}]"
2054298,"Kusum &amp; Harish Pathak who sold land to the Ram mandir trust in Ayodhya are wanted criminals who have been declared absconders. These absconders, whom the police is looking for, were hobnobbing with BJP’s mayor Rishikesh Upadhaya. Is this why they aren’t being caught Yogiji?",Pro OPP,pro opposition,ram mandir,"[{'text': 'ayodhya', 'score': 0.4754}, {'text': 'criminals', 'score': 0.4626}, {'text': 'trust', 'score': 0.2083}]"
294713,"Now, Turkey converts Byzantine church into mosque.

Few days ago, Turkey converted Hagia Sophia into mosque.

And our AIMPLB is inspired by such incidents. Recently, on Ram Mandir's Bhoomi Poojan, AIMPLB gave example of Hagia Sophia &amp; said that ""situations don't last forever.""",Pro Ruling,pro ruling,ram mandir,"[{'text': 'mosque', 'score': 0.5028}, {'text': 'turkey', 'score': 0.4761}, {'text': 'forever', 'score': 0.1579}]"
516257,"This is called Secularism in India!

Can you believe that Vaishno Devi Shrine Board funds were used for Iftaar parties

To please board members of different religion, temple funds were used for Iftar party

But these can't tolerate building Ram Mandir in Hindus' money!",Pro Ruling,pro ruling,ram mandir,"[{'text': 'temple', 'score': 0.4942}, {'text': 'funds', 'score': 0.3269}, {'text': 'iftar', 'score': 0.2092}]"
1566932,"Ayodhya Construction Of Ram Mandir Begins, This Old Footage That Will Inspire Many More In The Path Of Truth. #26मई_राममंदिर_और_मोदीशपथ https://t.co/qKMIF4bPAj",Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.661}, {'text': 'footage', 'score': 0.3801}, {'text': 'old', 'score': 0.1386}]"
995400,"Ayodhya: 5,100 urns prepared to light up path to Ram Mandir for Bhoomi Poojan https://t.co/AGRDUBZAQk",Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.6936}, {'text': 'path', 'score': 0.2515}, {'text': 'light', 'score': 0.2249}]"
5100445,"After #RamMandir judgement, this moment has delighted me the most. 🙏🙏 https://t.co/oot1xJbj4x",Pro Ruling,pro ruling,ram mandir,"[{'text': 'delighted', 'score': 0.521}, {'text': 'ram', 'score': 0.4796}, {'text': 'judgement', 'score': 0.4242}]"
1477493,"“Hanuman Chalisa for CM, Ram Mandir for PM.” 

We, as individuals, will have to keep the fight for secularism alive.",Pro OPP,pro opposition,ram mandir,"[{'text': 'secularism', 'score': 0.5971}, {'text': 'hanuman', 'score': 0.414}, {'text': 'keep', 'score': 0.3926}]"
5629589,Shri Ram Mandir demolished near #Chennai https://t.co/b5nkGsObHq,Pro Ruling,pro ruling,ram mandir,"[{'text': 'demolished', 'score': 0.4825}, {'text': 'chennai', 'score': 0.4563}, {'text': 'near', 'score': 0.1635}]"
7707918,"Acharya Satyendra Das, the chief priest of the Ram Mandir in Ayodhya, extended his solidarity to the Bharat Jodo Yatra led by Congress leader Rahul Gandhi. | AsadRizviJourno https://t.co/MNxqX29iqz",Pro OPP,pro opposition,ram mandir,"[{'text': 'ayodhya', 'score': 0.6385}, {'text': 'congress', 'score': 0.1954}, {'text': 'extended', 'score': 0.1752}]"
860875,"Hindus who were jailed for demanding Ram Mandir at Ayodhya, are today all set to royally watch Bhoomi Pujan

Lalu Prasad Yadav sent Ram Bhakts to jail, but today he's in jail

Mulayam Singh Yadav rained bullets at Kar Sevaks, today he's in hospital

Karma never misses an address",Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.5278}, {'text': 'jail', 'score': 0.409}, {'text': 'bullets', 'score': 0.2266}]"
3241947,"One guy was screaming - Why did we need Ram Mandir? Why Sardar Patel statue? That money could have been used for hospital facilities.

I told him - Only if those who built massive samadhis for the Dynasty's dead, diverted 10% of Samadhi efforts towards hospitals..

Silence..",Pro Ruling,pro ruling,ram mandir,"[{'text': 'samadhis', 'score': 0.5796}, {'text': 'screaming', 'score': 0.2537}, {'text': 'hospitals', 'score': 0.2372}]"
7283687,Congress dresses up in black thinking they will send a message of “black day for democracy.” Amit Shah says black was worn today on the anniversary of the Ram Mandir Bhoomi Pujan because Congress is anti-Hindu. Congress bowled over. Now that’s a plot twist like no other.,Pro Ruling,pro ruling,ram mandir,"[{'text': 'black', 'score': 0.5156}, {'text': 'congress', 'score': 0.4209}, {'text': 'dresses', 'score': 0.2674}]"
1480677,"So on 5th August- the most auspicious  symbol of national unity, integration &amp; harmony Shri Ram Mandir Bhoomipujan will happen... Congress &amp; Rahul chamchas will mark it as BLACK DAY! 

Would they mock any other faith like this? Would 25th Dec be observed as Black Day? https://t.co/ZBQHm9zepn",Pro Ruling,pro ruling,ram mandir,"[{'text': 'day', 'score': 0.3851}, {'text': 'black', 'score': 0.3654}, {'text': 'congress', 'score': 0.2425}]"
1885070,"Nehru Memorial= 55 Acres 
Indira Memorial= 45 Acres 
Rajiv Memorial= 15 Acres

Total value of these 115 acres of land is Rs 50,094 crores!

But the people who speak against Sardar Patel's statue &amp; Ram Mandir,

Never say that ""Let us sell these memorials to set up oxygen plants""!",Pro Ruling,pro ruling,ram mandir,"[{'text': 'memorials', 'score': 0.4737}, {'text': 'acres', 'score': 0.427}, {'text': 'oxygen', 'score': 0.225}]"
2245670,"5th Aug 2019: 370 gone

5th Aug 2020: Ram Mandir Bhumi Pujan

5th Aug 2021: Olympic Medal in hockey after 48 years

@rashtrapatibhvn just declare 5th august as National Happiness Day.",Pro Ruling,pro ruling,ram mandir,"[{'text': 'happiness', 'score': 0.5198}, {'text': '2020', 'score': 0.3948}, {'text': 'hockey', 'score': 0.3715}]"
502124,"Rafale ke rate 
370 ka fate
Aur Ram Mandir ki date
Par sandeh nahi karte! 

Who wrote it? It’s circulating now 😮",Pro Ruling,pro ruling,ram mandir,"[{'text': 'ke', 'score': 0.5814}, {'text': 'rate', 'score': 0.3366}, {'text': '370', 'score': 0.275}]"
1113888,Jai Shri Ram...#RamMandirAyodhya https://t.co/PnKr0F8WDS,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ram', 'score': 0.6559}, {'text': 'shri', 'score': 0.5714}, {'text': 'jai', 'score': 0.4377}]"
4180582,"The appeal by Lama Pujya shri Chosphel Zotpa, the President of Himalayan Buddhist cultural association for the #RamMandirNidhiSamarpan Abhiyan  
#सबमें_राम_सबके_राम https://t.co/XTafQ1WYhl",Pro Ruling,pro ruling,ram mandir,"[{'text': 'buddhist', 'score': 0.6819}, {'text': 'appeal', 'score': 0.327}, {'text': 'president', 'score': 0.2302}]"
1908431,"THREAD--- IMPORTANT

ON UNFOUNDED, POLITICALLY MOTIVATED ALLEGATIONS MADE BY SOME ""ROME BHAKTS"" AGAINST RAM MANDIR PERHAPS IN THEIR ATTEMPT AGAIN TO STALL ITS CONSTRUCTION (something they have been trying for long)

#iTrustRamJanambhumiNayas 

Thread below 1/n",Pro Ruling,pro ruling,ram mandir,"[{'text': 'ram', 'score': 0.4642}, {'text': 'politically', 'score': 0.3906}, {'text': 'unfounded', 'score': 0.2425}]"
4078289,"The history of the 18th century Tulshibaug and Tulshibaug Ram Mandir in #Pune

'Tulsibaug Ram Mandir - A Haven in the Heart of Pune'
 https://t.co/lMmbLZyQzr via @KevinStandage",Pro Ruling,pro ruling,ram mandir,"[{'text': 'tulshibaug', 'score': 0.5685}, {'text': 'history', 'score': 0.5359}, {'text': 'heart', 'score': 0.1975}]"
