source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
981369,"SFI protests against BJP's Swapan Dasgupta Visva Bharati, stalls lecture onCAA 
Shocking intolerance,extremism by students of Visva Bharati,typical ofJNU extremism ⁦@BDUTT⁩ ⁦@ShekharGupta⁩ ⁦@sardesairajdeep⁩ ⁦@Ram_Guha⁩   are quiet! https://t.co/pl0wTWYIvx",TVMohandasPai,Pro Ruling,pro ruling,caa,"[{'text': 'protests', 'score': 0.4751}, {'text': 'quiet', 'score': 0.4323}, {'text': 'ram_guha', 'score': 0.2262}]"
2186460,"BIG BREAKING :

Priyanka Gandhi attacked Akhilesh Yadav in the Moradabad Rally , asked him where was he during CAA and NRC 🔥🔥🔥",SurrbhiM,Pro OPP,pro opposition,caa,"[{'text': 'gandhi', 'score': 0.4759}, {'text': 'attacked', 'score': 0.4503}, {'text': 'rally', 'score': 0.3513}]"
1092223,#Congress has slammed #PrimeMinister #NarendraModi on his speech in #Karnataka 's #Tumakuru rally where he accused Congress of fomenting trouble during #AntiCAAProtests. #GoBackModi  https://t.co/MvlWOGg0tX,NH_India,Pro OPP,pro opposition,caa,"[{'text': 'congress', 'score': 0.5172}, {'text': 'narendra', 'score': 0.3648}, {'text': 'slammed', 'score': 0.2507}]"
1570417,"Sharad Pawar says that some people think that building a temple will eradicate COVID.

I guess, Sharad Pawar was sleeping when some people claimed that COVID is their God getting back to India on CAA and propagated that Corona can never infect them because they are believers.",AsYouNotWish,Pro Ruling,pro ruling,caa,"[{'text': 'temple', 'score': 0.4566}, {'text': 'sleeping', 'score': 0.1963}, {'text': 'infect', 'score': 0.1678}]"
5401299,".@MoCA_GoI organizing a mega Yoga event- Yog Prabha today at Safdarjung Airport, New Delhi. 
Led by HMCA @JM_Scindia and MoS for MoCA @Gen_VKsingh, the event will see the participation of over 600 officials and employees of MoCA and affiliate organizations.",PBNS_India,Pro Ruling,pro ruling,caa,"[{'text': 'yoga', 'score': 0.5152}, {'text': 'officials', 'score': 0.2448}, {'text': 'gen_vksingh', 'score': 0.1925}]"
1963838,#BREAKING: Fugitive Mehul Choksi apprehended by Dominica Police after he landed illegally in a boat from Antigua. Dominica Police Spokesperson tells me on a phone call. Choksi arrested from North of Dominica and will be extradited soon back to Antigua. Breaking on @CNNnews18.,AdityaRajKaul,Pro Ruling,pro ruling,caa,"[{'text': 'fugitive', 'score': 0.45}, {'text': 'boat', 'score': 0.1514}, {'text': 'cnnnews18', 'score': 0.082}]"
927879,Nobody has right to object to Kerala govt's decision: Nawab Malik on anti-CAA resolution https://t.co/pBbQttByrA,republic,Pro Ruling,pro ruling,caa,"[{'text': 'nawab', 'score': 0.4271}, {'text': 'resolution', 'score': 0.1747}, {'text': 'nobody', 'score': 0.15}]"
570134,"Khalid Saifi is in jail due to witch hunt against CAA protesters. Had he been out, he would have been at the forefront of helping migrant workers and those in need. 

Eid isn't same with such generous people in jail.",AdityaMenon22,Pro OPP,pro opposition,caa,"[{'text': 'jail', 'score': 0.4224}, {'text': 'witch', 'score': 0.1056}, {'text': 'workers', 'score': 0.0311}]"
1933503,"A closer reading of the allegations made against the #Natashanarwal shows that no specific, particularised or definite act is attributed to her, apart from the admitted fact that she engaged herself in organising anti-#CAA and anti-#NRC protests : #DelhiHC",LiveLawIndia,Pro OPP,pro opposition,caa,"[{'text': 'allegations', 'score': 0.4544}, {'text': 'natasha', 'score': 0.4124}, {'text': 'protests', 'score': 0.3488}]"
776300,"This dirty personal attack on Dalit hero @VashiMant has brought a massive polarization. All nationalist forces are on one side as one Pariwar - those who support CAA.

All Tukde gang are on other - those who hate Dalits and minorities of neighbors. 

I recall 2002.",SanjeevSanskrit,Pro Ruling,pro ruling,caa,"[{'text': 'nationalist', 'score': 0.5094}, {'text': 'attack', 'score': 0.3528}, {'text': 'polarization', 'score': 0.2019}]"
1756501,"“ I, citizen of India, congratulate honourable Prime Minister Shri Narendra Modi for CAA (Citizenship Amendment Act). I and my family support this act.”

Gujarat school gets students to pen CAA postcards to PM, parents force retreat

https://t.co/2bHRSuRCMz",atti_cus,Pro OPP,pro opposition,caa,"[{'text': 'caa', 'score': 0.4971}, {'text': 'india', 'score': 0.428}, {'text': 'amendment', 'score': 0.4247}]"
6878539,"'Will ensure CAA is not implemented if I am elected': Yashwant Sinha ahead of President election

#PresidentialElections2022
#YashwantSinha

https://t.co/Tcwf5SEIhY",indiatvnews,Pro Ruling,pro ruling,caa,"[{'text': 'elected', 'score': 0.5493}, {'text': '2022', 'score': 0.308}, {'text': 'yashwant', 'score': 0.3025}]"
7867823,"Today is the 133rd birth anniversary of Ho Chi Minh.

Vietnam fought and defeated Imperial Japan, France &amp; America; and then they saved Cambodia from the Khmer Rouge.

A brave nation that left a huge mark on the 20th century &amp; is currently one of Asia's top-performing economies. https://t.co/FtlAfgOVCM",Advaidism,Pro OPP,pro opposition,caa,"[{'text': 'vietnam', 'score': 0.6496}, {'text': 'anniversary', 'score': 0.4058}, {'text': 'saved', 'score': 0.1719}]"
1427822,The #antiCAAprotests and the #farmersprotest herald a new era of resistance to the #Modigovt’s pro-corporate and #Hindutva agenda. #COVID19 https://t.co/nM6sHmuk7h,NH_India,Pro OPP,pro opposition,caa,"[{'text': 'protest', 'score': 0.494}, {'text': 'antica', 'score': 0.4723}, {'text': 'farmers', 'score': 0.3305}]"
8030449,"India and America are walking shoulder to shoulder in the fight against terrorism.

#ModiInUSA
#PMModiUSVisit
#IndiaUSRelations https://t.co/IHYkTVG7Yy",mygovindia,Pro Ruling,pro ruling,caa,"[{'text': 'india', 'score': 0.4948}, {'text': 'us', 'score': 0.4362}, {'text': 'shoulder', 'score': 0.2481}]"
1915998,"●Assam population: 3.09 Cr
Hindu: 61% Muslim: 34%

●Population Growth:
Hindu: 10.89% Muslim: 29.59%

The growth is 3 times faster than any India state. This why people voted BJP to strictly implement CAA &amp; NRC to stop the demographic shift &amp; save Assam from becoming Kashmir.",oyevivekk,Pro Ruling,pro ruling,caa,"[{'text': 'india', 'score': 0.4797}, {'text': 'voted', 'score': 0.2313}, {'text': 'faster', 'score': 0.1176}]"
1084159,"Too bad, Joe Biden will be one of the weakest Presidents in the US political history, with a divided Congress. In other words, Biden's win will be the LOSS of America and the democratic world but above all, China's gain. That is the bottomline of #USPresidentialElections2020.",AartiTikoo,Pro Ruling,pro ruling,caa,"[{'text': 'presidential', 'score': 0.4623}, {'text': 'weakest', 'score': 0.4274}, {'text': 'china', 'score': 0.2192}]"
1752560,"Comedian and host John Oliver, on the latest episode of his show, ""Last Week Tonight"" described #CAA-NRC as a ""diabolically clever 2-step way"" to ""strip millions of Muslims of citizenship,"" writes @Maha_Shoonya.  
https://t.co/0DXSAMeYi9",TheQuint,Pro OPP,pro opposition,caa,"[{'text': 'caa', 'score': 0.4171}, {'text': 'muslims', 'score': 0.3778}, {'text': 'comedian', 'score': 0.2954}]"
3739303,"#IndiaFightsCorona:

📍Do NOT believe in rumours about any coronavirus variant - Alpha, Beta, Gamma, or Delta.

➡️Follow A-B-C-D of the fight against infodemic:

✅A: Advise
✅B: Believe
✅C: Cross-check
✅D: Do NOT promote fear

#Unite2FightCorona #StaySafe #We4Vaccine https://t.co/vGQjhn0Eut",COVIDNewsByMIB,Pro Ruling,pro ruling,caa,"[{'text': 'coronavirus', 'score': 0.6106}, {'text': 'india', 'score': 0.351}, {'text': 'rumours', 'score': 0.3324}]"
831161,"* Stone pelting

* Attacking police

* Threatening Hindus

* Planning to kill PM

* Supporting anti-national elements

* Abusing Hindu deities

* Chanting ""Pakistan Zindabaad""

If you see the above activities, then you can close your eyes &amp; say:

It is anti-CAA protest",mvmeet,Pro Ruling,pro ruling,caa,"[{'text': 'protest', 'score': 0.5916}, {'text': 'pakistan', 'score': 0.4147}, {'text': 'eyes', 'score': 0.1787}]"
6168720,"After the hindu muslim divide 
Sikh-Muslim divide was being created 
Esp seeing the solidarity between the two during CAA-NRC, Farmers protest https://t.co/GrG4LQ9D4s",sakshijoshii,Pro OPP,pro opposition,caa,"[{'text': 'muslim', 'score': 0.477}, {'text': 'farmers', 'score': 0.4519}, {'text': 'divide', 'score': 0.192}]"
