source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
2229958,"Why are people running away from Taliban rule?
Isn't this the ideal rule on earth for Muslims?
I urge Taliban to establish this rule in Pakistan next.
All Indian Muslims who love Shari'a should be compulsorily expatriated to countries ruled by Shari'a. Arfa, Saba, Rana Ayyub too.",Sanjay_Dixit,Pro Ruling,pro ruling,sharia,"[{'text': 'taliban', 'score': 0.5907}, {'text': 'expatriated', 'score': 0.1999}, {'text': 'running', 'score': 0.1753}]"
3996787,"Can u spot a single women or child fleeing Afghanistan? Not even one. This whole drama of people fleeing afraid of #Taliban is #Taqiyyah . They will enter other countries &amp; soon demand #ShariaLaw there or even become human Bombs. It's all drama. 

India should not fall prey to it https://t.co/rcIcW42YQq",RadharamnDas,Pro Ruling,pro ruling,sharia,"[{'text': 'taliban', 'score': 0.5628}, {'text': 'fleeing', 'score': 0.3621}, {'text': 'women', 'score': 0.2643}]"
2696163,"'The people of Afghanistan are not fleeing from the Taliban. They are fleeing from Sharia law'

Taslima Nasreen @taslimanasreen writes

#ThePrintOpinion

https://t.co/8iYihwGX5h",ThePrintIndia,Pro OPP,pro opposition,sharia,"[{'text': 'taliban', 'score': 0.5419}, {'text': 'sharia', 'score': 0.4316}, {'text': 'print', 'score': 0.115}]"
3909512,"Mozambique: Muslims behead 12-year-old boy, say they want to impose Sharia, aid worker says motive unclear https://t.co/60cQH3e2oE",jihadwatchRS,Pro Ruling,pro ruling,sharia,"[{'text': 'muslims', 'score': 0.5627}, {'text': 'mozambique', 'score': 0.3879}, {'text': 'boy', 'score': 0.2508}]"
127561,"What these penguins don't realize is, ’Shariah Law'  itself is 'Man Made Law'. The question is, why are these miserable creatures spreading their misery on the streets of a city they consider heathen and worthy of annihilation by their jihadi studs. https://t.co/XzNk2Y0lsT",TarekFatah,Pro Ruling,pro ruling,sharia,"[{'text': 'penguins', 'score': 0.5091}, {'text': 'jihadi', 'score': 0.2495}, {'text': 'city', 'score': 0.1707}]"
2231232,"Taliban believes that one day whole world will be under Islamic Rule..
India will surely be one of their first targets but how will they get china under sharia law?🤔 https://t.co/jluEoNXeVV",RituRathaur,Pro Ruling,pro ruling,sharia,"[{'text': 'islamic', 'score': 0.4796}, {'text': 'china', 'score': 0.3543}, {'text': 'targets', 'score': 0.1647}]"
3532440,"Sharia panchayats: Providing a new route to reconciliation across Telangana and Andhra Pradesh.

Demand for Sharia panchayats has increased in last few years.
 https://t.co/lt6Ba7P9JM",AskAnshul,Pro Ruling,pro ruling,sharia,"[{'text': 'sharia', 'score': 0.5693}, {'text': 'panchayats', 'score': 0.5571}, {'text': 'increased', 'score': 0.2521}]"
5806341,"“I want to warn all the individuals, organisations with Islamist mindset &amp; countries like Qatar that Bharat will be governed by our Constitution &amp; not by Sharia”: International Working President of VHP ⁦@AlokKumarLIVE⁩ Kumar at #HinduSankalpMarch, Delhi.

@VHPDigital⁩ https://t.co/kkkwtnt23E",eOrganiser,Pro Ruling,pro ruling,sharia,"[{'text': 'islamist', 'score': 0.6252}, {'text': 'warn', 'score': 0.3662}, {'text': 'president', 'score': 0.3191}]"
4391162,"Only in India,

Uniform civil code would be dubbed communal and Sharia laws secular.",RashmiDVS,Pro Ruling,pro ruling,sharia,"[{'text': 'sharia', 'score': 0.535}, {'text': 'india', 'score': 0.2885}, {'text': 'uniform', 'score': 0.1248}]"
6326747,Amazing clarity despite such being ‘Dara hua Musalman’. Constitution is an excuse till they can have #Shariah. prone time and again. https://t.co/aCIsk9hmnP,RatanSharda55,Pro Ruling,pro ruling,sharia,"[{'text': 'shariah', 'score': 0.687}, {'text': 'constitution', 'score': 0.4229}, {'text': 'excuse', 'score': 0.1864}]"
