source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
3670122,"The high-profile voices in support of the farmers’ agitation are located in free-market economies, writes @BhavKang
#FarmersProtest #FarmBills2020 #FarmersProtests #FarmerProtest #FarmerProtests @rihanna
https://t.co/1K9Z63NqeW https://t.co/MNb6WnnsAw",Pro OPP,pro opposition,farmers protests,"[{'text': 'farmers', 'score': 0.5489}, {'text': 'protests', 'score': 0.4369}, {'text': 'farmbills2020', 'score': 0.2018}]"
4220035,At #FarmersProtests reporting on #MahilaKisanDiwas as Women Take the Lead on stage and off it. Those ground reports on @themojostory today https://t.co/hIuFKH2m8w,Pro OPP,pro opposition,farmers protests,"[{'text': 'mahila', 'score': 0.5318}, {'text': 'protests', 'score': 0.4433}, {'text': 'farmers', 'score': 0.4144}]"
2847674,"Protesters block national highway near Shahjahanpur border (Rajasthan-Haryana), as part of 'Chakka Jaam' call given by farmers from 12 pm to 3:00 pm today. (ANI)
#ChakkaJam #FarmersProtests https://t.co/MlWVCVV54F",Pro OPP,pro opposition,farmers protests,"[{'text': 'protesters', 'score': 0.5521}, {'text': 'highway', 'score': 0.5094}, {'text': 'shahjahanpur', 'score': 0.2855}]"
2148022,"Yogendra Yadav knew that a girl was gangraped on farmer's protest site.. So were many farmer leaders.

But due to their agenda, they kept silent. https://t.co/AbFpj62tGW",Pro Ruling,pro ruling,farmers protests,"[{'text': 'yogendra', 'score': 0.4702}, {'text': 'protest', 'score': 0.307}, {'text': 'gangraped', 'score': 0.2836}]"
2138718,"The last batch of farmers’ protesters leave back from Singhu border
#FarmersProtest_FatehMarch #FarmersWon #FarmersProtests #MSP_की_जंग_जारी_रहेगी https://t.co/641mTHcDy3",Pro OPP,pro opposition,farmers protests,"[{'text': 'farmers', 'score': 0.5317}, {'text': 'protesters', 'score': 0.4392}, {'text': 'last', 'score': 0.255}]"
4911324,"‘We saw a statement by the Prime Minister in the media that law will take its course. We don’t want to interfere at this stage,’ CJI Bobde told a PIL petitioner https://t.co/jdNCb5IW65  
#RepublicDay #FarmersProtests",Pro OPP,pro opposition,farmers protests,"[{'text': 'law', 'score': 0.4818}, {'text': 'farmers', 'score': 0.3106}, {'text': 'protests', 'score': 0.1883}]"
2003375,TV Media’s problem is that it is trying to cover the farmers’ protests the way it always covers innocent and naive JNU students’ protests....,Pro OPP,pro opposition,farmers protests,"[{'text': 'media', 'score': 0.4618}, {'text': 'farmers', 'score': 0.2562}, {'text': 'naive', 'score': 0.239}]"
3718949,"MHA on Nails Fixed At #Farmers’ Protest Site :

Manner in which protesting farmers used tractors as weapons for breaking barricades &amp; injuring policemen; the barricades at Delhi-Uttar Pradesh border were strengthened to prevent any possible repeat of conduct displayed on Jan 26 https://t.co/09QmS7S06y",Pro OPP,pro opposition,farmers protests,"[{'text': 'protest', 'score': 0.4825}, {'text': 'nails', 'score': 0.3641}, {'text': 'tractors', 'score': 0.3257}]"
1741600,"After brutally suppressing protests by indigenous tribes in Canada, PM Justin Trudeau pontificates over farmers’ protests in India

https://t.co/ajV0F02joU",Pro Ruling,pro ruling,farmers protests,"[{'text': 'protests', 'score': 0.4856}, {'text': 'canada', 'score': 0.4653}, {'text': 'farmers', 'score': 0.3024}]"
115755,Grand view of #FarmersProtests at Singhu Border. https://t.co/GGEHvqQJU9,Pro OPP,pro opposition,farmers protests,"[{'text': 'protests', 'score': 0.6449}, {'text': 'farmers', 'score': 0.5662}, {'text': 'border', 'score': 0.3671}]"
