source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
8222275,"Glimpse of New Parliament

Akhand bhart with ancient cities

Zoom the pic n see https://t.co/GGvaeCecMl",Starboy2079,Pro Ruling,pro ruling,new parliament,"[{'text': 'ancient', 'score': 0.5532}, {'text': 'cities', 'score': 0.4461}, {'text': 'zoom', 'score': 0.2718}]"
7548830,"Parliament cannot function without the President. Yet PM has decided to inaugurate the new Parliament building without her. This undignified act insults the high office of the President,and violates the letter &amp; spirit of the Constitution: Joint Statement of 19 Opposition Parties https://t.co/4oHIA7FEWY",arvindgunasekar,Pro OPP,pro opposition,new parliament,"[{'text': 'parliament', 'score': 0.6261}, {'text': 'undignified', 'score': 0.277}, {'text': 'insults', 'score': 0.2022}]"
5981498,"While unveiling the National Emblem cast on the roof of the New Parliament Building today, PM @narendramodi interacted with the Shramjeevis involved in the work of the new Parliament. Watch this video to know more! #NewParliament4NewIndia https://t.co/xVTqxyyVH6",mygovindia,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5838}, {'text': 'narendramodi', 'score': 0.4964}, {'text': 'unveiling', 'score': 0.2888}]"
7930242,"Beg to remain your most obedient servant ~ S D Savarkar 
#NewParliament 😂😂 https://t.co/04ICmy6bet https://t.co/lopMHUiR5g",DrDatta01,Pro OPP,pro opposition,new parliament,"[{'text': 'parliament', 'score': 0.5556}, {'text': 'obedient', 'score': 0.5486}, {'text': 'new', 'score': 0.2022}]"
8087976,"1. Brijbhushan Singh inside the New Parliament building.

2. Women wrestlers protesting outside the Parliament.

My Parliament, My Pride?! https://t.co/C8ftYkdtbf",Cryptic_Miind,Pro OPP,pro opposition,new parliament,"[{'text': 'parliament', 'score': 0.5462}, {'text': 'wrestlers', 'score': 0.3866}, {'text': 'brijbhushan', 'score': 0.2902}]"
8154364,"Pictures of the new Parliament building which symbolises the spirit of self-reliant India. 

Prime Minister @narendramodi will dedicate the newly constructed #ParliamentBuilding to the Nation today.

#MyParliamentMyPride https://t.co/70YuGhT7CP",DDNewslive,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5916}, {'text': 'narendramodi', 'score': 0.4161}, {'text': 'pictures', 'score': 0.293}]"
7644789,"Those who are outraged by PM Modi's inauguration of the New parliament should know that the Chattishgarh new Assembly building foundation stone was laid by Smt Sonia Gandhi in 2020 and not by the Governor or the President.

In what capacity does she lay the foundation of a State… https://t.co/GdJbEVvf5X https://t.co/rvi7CSTeok",rishibagree,Pro Ruling,pro ruling,new parliament,"[{'text': 'foundation', 'score': 0.4836}, {'text': 'chattishgarh', 'score': 0.3437}, {'text': 'governor', 'score': 0.2908}]"
3284500,"It was UPA that felt New Parliament was essential in 2012

“We badly need a new parliament building. This one simply isn’t functional and is outdated,”: Jairam Ramesh

Ex-Lok Sabha Speaker Meira Kumar had accorded approval of new Parliament building- https://t.co/Yee3xrI0v3

6/n https://t.co/mygy2rKrck",Shehzad_Ind,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.6354}, {'text': 'new', 'score': 0.343}, {'text': 'felt', 'score': 0.0822}]"
8328508,"On the occasion of Azadi Ka Amrit Mahotsav, Prime Minister @narendramodi will dedicate the newly-constructed Parliament building on May 28 to the nation

Prime Minister will also honour around 60,000 workers who built new Parliament building in record time: Union Minister… https://t.co/xcG5n2UMN2 https://t.co/QCo35UK6tZ",PIB_India,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.5581}, {'text': 'narendramodi', 'score': 0.3126}, {'text': 'workers', 'score': 0.292}]"
7920836,"The New Parliament House is ready!!

The President Draupadi Murmu  likely to address the Joint Session from New Lok Sabha House on 31st January 2023.

The Budget likely to be presented by UFM Srimati Nirmala Sitharaman from the new Lok Sabha House on 1st February, 2023. https://t.co/gaGSjGyIAw",MeghUpdates,Pro Ruling,pro ruling,new parliament,"[{'text': 'parliament', 'score': 0.4966}, {'text': 'ready', 'score': 0.3959}, {'text': 'nirmala', 'score': 0.2039}]"
