source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,STANCE ,Reasoning 
1896168,"Prime Minister @narendramodi unveiled the National Emblem of #India🇮🇳 atop the new Parliament House on Monday 11 July 2022. This marked yet another important milestone in the decolonisation of Lutyens Delhi.
 n1 https://t.co/eOkSPokuKw",Pro Ruling,pro ruling,new parliament,"['emblem', 'narendramodi', '2022']","[{'text': 'emblem', 'score': 0.5255}, {'text': 'narendramodi', 'score': 0.4987}, {'text': '2022', 'score': 0.181}]",For ,claims that it marks another important milestone in the decolonisation of Lutyens Delhi. 
2858916,"#WATCH | PM @narendramodi felicitates the workers who helped in the development of the #NewParliamentBuilding.  

#MyParliamentMyPride #ParliamentNewBuilding https://t.co/Y5AU99d007",Pro Ruling,pro ruling,new parliament,"['parliament', 'workers', 'narendramodi']","[{'text': 'parliament', 'score': 0.5895}, {'text': 'workers', 'score': 0.3806}, {'text': 'narendramodi', 'score': 0.3392}]",For ,"hashtag suggests ""my parliament, my pride"". "
2720746,"Mota Bhai rips apart Congress, who is playing dirty politics on the issue of inauguration of New Parliament building. https://t.co/4yjea7G3Lh",Pro Ruling,pro ruling,new parliament,"['congress', 'dirty', 'playing']","[{'text': 'congress', 'score': 0.4954}, {'text': 'dirty', 'score': 0.3196}, {'text': 'playing', 'score': 0.1889}]",For ,claims that congress is playing dirty politics in regards of the new parliament. 
1254953,"What choice do we have?

Rs 20,000 cr new Parliament is an ‘essential service’ now.

#CentralVista #COVID19 #Oxygen #HospitalBeds #vaccines 
@VijaytaL @sharmasupriya https://t.co/QlSXcL5KxB",Pro OPP,pro opposition,new parliament,"['parliament', 'vaccines', 'oxygen']","[{'text': 'parliament', 'score': 0.4141}, {'text': 'vaccines', 'score': 0.3928}, {'text': 'oxygen', 'score': 0.2877}]",Against ,suggests that government spending a lot of money on parliament and not other essential services such as oxygen and hospital beds. 
2875271,"Pictures of the new Parliament building which symbolises the spirit of self-reliant India. 

Prime Minister @narendramodi will dedicate the newly constructed #ParliamentBuilding to the Nation today.

#MyParliamentMyPride https://t.co/70YuGhT7CP",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'pictures']","[{'text': 'parliament', 'score': 0.5916}, {'text': 'narendramodi', 'score': 0.4161}, {'text': 'pictures', 'score': 0.293}]",For ,claims that it symbolises the spirit of a self reliant India. 
2774942,"Women farmers from Punjab under the leadership of KMSC departed from the Beas flyover to take part in ""Mahila Samman Mahapanchayat"" in front of the new parliament tomorrow ! #WrestlersProtest 

@SakshiMalik @BajrangPunia https://t.co/cG9LkY2x3v",Pro OPP,pro opposition,new parliament,"['farmers', 'protest', 'flyover']","[{'text': 'farmers', 'score': 0.4388}, {'text': 'protest', 'score': 0.3268}, {'text': 'flyover', 'score': 0.1356}]",Neutral ,"no stance taken, only news delivered."
2177247,"#NLInterview | 'The new parliament which is coming up might become a tourist site.'

@priyankac19 in conversation with @AbhinandanSekhr on how India is seeing a systematic failure of parliamentary democracy.

Full interview: https://t.co/2siLiC91r1 https://t.co/r8wDNpYIpI",Pro OPP,pro opposition,new parliament,"['parliamentary', 'india', 'tourist']","[{'text': 'parliamentary', 'score': 0.5025}, {'text': 'india', 'score': 0.4088}, {'text': 'tourist', 'score': 0.3716}]",Against ,calls it a systematic failure of parliamentary democracy by turning into a tourist site. 
2923035,Why the President of India Should Inaugurate the New Parliament Building https://t.co/ExquvqTCGU,Pro OPP,pro opposition,new parliament,"['parliament', 'india', 'new']","[{'text': 'parliament', 'score': 0.5204}, {'text': 'india', 'score': 0.345}, {'text': 'new', 'score': 0.2775}]",Neutral ,"no stance taken, only news delivered."
2758802,"The day Modi inaugurated the new Parliament building, Manipur police killed 40 Kuki tribals, and Delhi police assaulted and detained India's wrestling champions. https://t.co/9AvdY7NRHY",Pro OPP,pro opposition,new parliament,"['tribals', 'police', 'killed']","[{'text': 'tribals', 'score': 0.3974}, {'text': 'police', 'score': 0.2969}, {'text': 'killed', 'score': 0.2564}]",Against ,shows how the new parliament opening coincided with the government also carrying out killings and assault. 
112522,"Whether we like it or we don’t like the New Parliament Building, it’s foundation laying ceremony should have been performed by the President of India.",Pro OPP,pro opposition,new parliament,"['ceremony', 'president', 'india']","[{'text': 'ceremony', 'score': 0.4795}, {'text': 'president', 'score': 0.3657}, {'text': 'india', 'score': 0.3401}]",Neutral ,no stance on new parliament being taken. 
49030,"Dear people of India, the govt is reducing your take-home salary from April and building a new Parliament. Then they won't allow any debate in favour of you and pass laws against you favouring crony capitalists while you are the ones who are paying this govt's salary.",Pro OPP,pro opposition,new parliament,"['govt', 'india', 'salary']","[{'text': 'govt', 'score': 0.414}, {'text': 'india', 'score': 0.3723}, {'text': 'salary', 'score': 0.255}]",Against ,shows that Govt favors crony capitalists and stealing the money of people. 
2728959,"📡LIVE Now📡 

Prime Minister @narendramodi at the Celebration of the dedication of #NewParliamentBuilding to the Nation

Watch on #PIB's

Facebook: https://t.co/Y3o6hcqKRO
YouTube: https://t.co/ZB14zwcAht",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'youtube']","[{'text': 'parliament', 'score': 0.5582}, {'text': 'narendramodi', 'score': 0.4941}, {'text': 'youtube', 'score': 0.3827}]",Neutral ,"no stance taken, only news delivered."
2695303,"'Indelible signature of history': PM @narendramodi at inauguration of new Parliament building
https://t.co/9Qx1rprkbh 

via NaMo App https://t.co/Olus95Lx8m",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'signature']","[{'text': 'parliament', 'score': 0.5292}, {'text': 'narendramodi', 'score': 0.4903}, {'text': 'signature', 'score': 0.4552}]",For ,"calls it a ""indelible signature of history"". "
2862255,"'Walking stick' will get its rightful place, says PM Modi ahead of establishing 'Sengol' in new Parliament building

Read @ANI Story | https://t.co/ltg0JFtPWS
#PMModi #Sengol #NewParliamentBuilding #SengolOfIndia https://t.co/UsekoDpFNq",Pro Ruling,pro ruling,new parliament,"['stick', 'india', 'building']","[{'text': 'stick', 'score': 0.4456}, {'text': 'india', 'score': 0.3139}, {'text': 'building', 'score': 0.2619}]",For ,shows how important artifact's rightful place is the new parliament building. 
2770831,"PM @narendramodi went for a surprise visit of the new parliament building. He observed the faculties coming up at both the houses of the parliament.

He also interacted with the construction workers. https://t.co/cp8hoQ7jxz",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'workers']","[{'text': 'parliament', 'score': 0.5272}, {'text': 'narendramodi', 'score': 0.3803}, {'text': 'workers', 'score': 0.2703}]",For ,shows how modi is involving everyone in the new endeavor. 
2755804,"This weekend ahead of the new Parliament's grand opening I wrote this for @htTweets on #WrestlersProtest -BJP MP Brij Bhushan's rants against the women alleging abuse by him, really lower the dignity of any Parliament, new and old.   https://t.co/v6uFX8bck3",Pro OPP,pro opposition,new parliament,"['wrestlers', 'protest', 'httweets']","[{'text': 'wrestlers', 'score': 0.4452}, {'text': 'protest', 'score': 0.4421}, {'text': 'httweets', 'score': 0.3815}]",Against ,shows how the dignity of new parliament has been reduced. 
2187848,"Important point by AGK Menon on the Sarnath lions on the new Parliament in @TheIndiaCable today. The National symbol issue is about politics, not aesthetics. https://t.co/DoD0JbrfHK",Pro OPP,pro opposition,new parliament,"['parliament', 'lions', 'theindiacable']","[{'text': 'parliament', 'score': 0.5426}, {'text': 'lions', 'score': 0.2845}, {'text': 'theindiacable', 'score': 0.2221}]",Neutral ,"no stance taken, only news delivered."
770659,"Watch | Even as India is grappling with a devastating #coronavirus outbreak, 24/7 work continues on the new Parliament project

NDTV's Sunil Prabhu reports https://t.co/zlngT302tY",Pro OPP,pro opposition,new parliament,"['coronavirus', 'continues', 'india']","[{'text': 'coronavirus', 'score': 0.4939}, {'text': 'continues', 'score': 0.4409}, {'text': 'india', 'score': 0.3941}]",Against ,shows how government is prioritising new building than the life of its citizens. 
2718810,"Indian PM @narendramodi inaugurates #NewParliamentBuilding

New Parliament can accommodate more members

New Parliament to present India's growing population

@eriknjoka joined by @sidhant, for details

Watch more: https://t.co/AXC5qRuO3J https://t.co/lZcqv6viSa",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'growing']","[{'text': 'parliament', 'score': 0.5001}, {'text': 'narendramodi', 'score': 0.383}, {'text': 'growing', 'score': 0.1405}]",For ,shows benefits of new parliament. 
2927350,Modi inaugurates India’s new parliament building with a bunch Hindu Brahmin priests-India is constitutionally still a secular country and Brahmins are only 3% of India’s population. https://t.co/8V4PAO1BhT,Pro OPP,pro opposition,new parliament,"['hindu', 'building', 'constitutionally']","[{'text': 'hindu', 'score': 0.4697}, {'text': 'building', 'score': 0.3022}, {'text': 'constitutionally', 'score': 0.2915}]",For,shows India to be secular. 
2677949,"Q arises on inauguration of the new Parliament building on VD Savarkar birthday. Savarkar was to many a freedom revolutionary &amp; certainly a Hindutva ideologue, but what exactly was Savarkar’s contribution to parliamentary democracy? Parliament should logically be inaugurated on… https://t.co/LIcmqYTtOZ",Pro OPP,pro opposition,new parliament,"['parliament', 'hindutva', 'birthday']","[{'text': 'parliament', 'score': 0.4717}, {'text': 'hindutva', 'score': 0.2517}, {'text': 'birthday', 'score': 0.2075}]",Neutral ,no stance on new parliament being taken. 
147779,"#DoYouKnow, the new Parliament Building will have 530 seats in Media and Public galleries in each house. #NewParliament4NewIndia https://t.co/4CSEan4yNw",Pro Ruling,pro ruling,new parliament,"['parliament', 'seats', 'india']","[{'text': 'parliament', 'score': 0.5843}, {'text': 'seats', 'score': 0.2928}, {'text': 'india', 'score': 0.2285}]",For ,shows scope of the building. 
2664333,"SHOCKING DISCLOSURE:

Proof that Hon'ble President of India was NOT INVITED for the inauguration of the new Parliament Building 👇

👉 I'd filed an RTI with Rashtrapati Bhawan asking whether Hon'ble President of India received an invitation from (a) Prime Minister Modi, (b) Lok… https://t.co/oAeNzUC6bg https://t.co/NqZh7PmAAJ",Pro OPP,pro opposition,new parliament,"['president', 'india', 'invitation']","[{'text': 'president', 'score': 0.4589}, {'text': 'india', 'score': 0.4252}, {'text': 'invitation', 'score': 0.3468}]",Neutral ,no stance on new parliament being taken. 
2695406,"Highlights of PM @narendramodi's address at the event of dedication of the New Parliament Building to the Nation.

#MyParliamentMyPride #NewParliamentBuilding
#SengolInParliament https://t.co/QpkC7attKv",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'new']","[{'text': 'parliament', 'score': 0.6611}, {'text': 'narendramodi', 'score': 0.4555}, {'text': 'new', 'score': 0.3428}]",For ,"hashtag suggests ""my parliament, my pride"". "
2724261,"#KapilSibal took a swipe at the BJP over the new Parliament building's inauguration, saying he wants his India neither new nor old but one where Parliament is without religious rituals. https://t.co/Hk37bx49Xl",Pro OPP,pro opposition,new parliament,"['india', 'religious', 'neither']","[{'text': 'india', 'score': 0.388}, {'text': 'religious', 'score': 0.3418}, {'text': 'neither', 'score': 0.2252}]",Against ,says a parliament should be without religious rituals. 
2225478,National Emblem on New Parliament of New India 🇮🇳 Jai Ho ❤️ #CentralVista https://t.co/XgWxxnrKDZ,Pro Ruling,pro ruling,new parliament,"['emblem', 'parliament', 'india']","[{'text': 'emblem', 'score': 0.6107}, {'text': 'parliament', 'score': 0.5728}, {'text': 'india', 'score': 0.4824}]",For ,shows pride.
2765100,"Brij Bhushan was attending the inauguration of the new parliament.

While women wrestlers protesting against him were being dragged by the police.",Pro OPP,pro opposition,new parliament,"['bhushan', 'protesting', 'wrestlers']","[{'text': 'bhushan', 'score': 0.453}, {'text': 'protesting', 'score': 0.405}, {'text': 'wrestlers', 'score': 0.3386}]",Against ,shows hypocricy of government. 
2825316,No. Seriously. Why was the President of India not invited to inaugurate the new Parliament building??,Pro OPP,pro opposition,new parliament,"['parliament', 'india', 'invited']","[{'text': 'parliament', 'score': 0.4217}, {'text': 'india', 'score': 0.3126}, {'text': 'invited', 'score': 0.1389}]",Against ,shows how President of India was disrespected.
14754,"Know more about the new #ParliamentBuilding 

Check out the Video👇

#PIBKochi @naqvimukhtar @KirenRijiju @loksabhatv @rajyasabhatv @LokSabhaSectt @loksabhaspeaker @MIB_India @MoHUA_India @pspoffice @airnewsalerts @shashidigital https://t.co/RfgbiQPtqx",Pro Ruling,pro ruling,new parliament,"['parliament', 'mib_india', 'pspoffice']","[{'text': 'parliament', 'score': 0.588}, {'text': 'mib_india', 'score': 0.3358}, {'text': 'pspoffice', 'score': 0.0893}]",Neutral ,"no stance taken, only news delivered."
27828,"PM @narendramodi to lay the foundation stone of New #ParliamentBuilding at Sansad Marg. The new building is an intrinsic part of ‘#AatmanirbharBharat’ and will be a landmark opportunity to build peoples’ Parliament for the first time after independence 
@PIB_India @airnewsalerts https://t.co/qIpQcdPpUy",Pro Ruling,pro ruling,new parliament,"['parliament', 'lay', 'pib_india']","[{'text': 'parliament', 'score': 0.5485}, {'text': 'lay', 'score': 0.2778}, {'text': 'pib_india', 'score': 0.2481}]",For ,"shows it as a ""landmark opportunity"". "
2708077,"📡LIVE Now 📡

Prime Minister @narendramodi inaugurates #NewParliamentBuilding 

Watch on #PIB's📺

Facebook: https://t.co/Y3o6hcqKRO
YouTube: https://t.co/iblrv8xFoN",Pro Ruling,pro ruling,new parliament,"['parliament', 'narendramodi', 'youtube']","[{'text': 'parliament', 'score': 0.5065}, {'text': 'narendramodi', 'score': 0.446}, {'text': 'youtube', 'score': 0.2303}]",Neutral ,"no stance taken, only news delivered."
