source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
6227118,"Mark my words, once Modi goes out of power, the narrative will spread like wildfire that how one man singlehandedly destroyed the BJP leadership and its future prospects. History is ruthless, and so is democracy.",AudaciousQuest_,Pro OPP,pro opposition,democracy,"[{'text': 'democracy', 'score': 0.3606}, {'text': 'out', 'score': 0.2948}, {'text': 'wildfire', 'score': 0.2677}]"
5016316,"“Cartoons act as an outlet for public emotions. They cannot control every outlet.”

As cartoonist Manjul gets law enforcement notice from Twitter, Indian cartoonists take to social media to explain why humour is essential for a healthy democracy. 

https://t.co/Mi8RNfQ2XZ",scroll_in,Pro OPP,pro opposition,democracy,"[{'text': 'cartoonists', 'score': 0.6473}, {'text': 'democracy', 'score': 0.296}, {'text': 'indian', 'score': 0.2897}]"
3162181,"Thank you new #CJI NV Ramanna for reclaiming democracy and now time to #reopen Anonymous #bond,Kashmir,VVPAT and #EVM mismatch cases also https://t.co/bXAR3Hu7cB",Ajaykumar00009,Pro OPP,pro opposition,democracy,"[{'text': 'reclaiming', 'score': 0.4339}, {'text': 'bond', 'score': 0.3425}, {'text': 'mismatch', 'score': 0.178}]"
135345,"Just in | #BJP spokesperson #SambitPatra at a press conference says the ""dastardly act against the press is an attack not only on the fundamental rights of the press, the reporters and the editors, but also on the core of this democracy.""
- @DaminiNath reports.",the_hindu,Pro OPP,pro opposition,democracy,"[{'text': 'press', 'score': 0.5838}, {'text': 'democracy', 'score': 0.3649}, {'text': 'dastardly', 'score': 0.2518}]"
7017582,"THE GAVEL HAS BEEN PASSED!

India, the mother of democracy, assumes #G20 Presidency, with the spirit of 'Vasudhaiva Kutumbakam' - One Earth, One Family, One Future!

#G20India #NewIndia https://t.co/z6Q6xCzsfW",mygovindia,Pro Ruling,pro ruling,democracy,"[{'text': 'india', 'score': 0.5251}, {'text': 'presidency', 'score': 0.452}, {'text': 'g20', 'score': 0.4114}]"
3340139,"Biggest Democracy in the world is celebrating its 72nd Republic Day Today 🇮🇳! 

On this day let’s remember who lost their life during freedom struggle &amp; spent yrs for getting us a solid strong constitution.

Wishing all fellow Indians a Happy 

#RepublicDay  #गणतंत्रदिवस https://t.co/NNqKZgBjXW",vijaythottathil,Pro OPP,pro opposition,democracy,"[{'text': 'republic', 'score': 0.5882}, {'text': 'celebrating', 'score': 0.5059}, {'text': '72nd', 'score': 0.3795}]"
3358514,"""It shows the weakness of the government and the pettiness of the BJP and how it looks at parliamentary democracy"": Priyanka Chaturvedi (@priyankac19), Shiv Sena MP, on her suspension from the #RajyaSabha 
https://t.co/33VcWGUaQI",ndtvvideos,Pro OPP,pro opposition,democracy,"[{'text': 'democracy', 'score': 0.512}, {'text': 'suspension', 'score': 0.3522}, {'text': 'priyankac19', 'score': 0.3362}]"
3536117,"Good to see ⁦@CNNnews18 unravel the truth of anti-#CAA Delhi riots &amp; R-Day violence by enemies of the state — within &amp; outside. Must read, especially para 3 on reason for the concerted effort to damage India’s economic growth &amp; democracy. https://t.co/c4hogr4nJk",MinhazMerchant,Pro Ruling,pro ruling,democracy,"[{'text': 'delhi', 'score': 0.5125}, {'text': 'democracy', 'score': 0.3631}, {'text': 'cnnnews18', 'score': 0.2438}]"
6867321,"The danger of #socialmedia being abused to hack democracy was rising and the government should put an end to the “systematic interference” of #Facebook and other social media giants in electoral politics of the world’s largest democracy, #SoniaGandhi said.
https://t.co/V7T7Z0C6ix",the_hindu,Pro OPP,pro opposition,democracy,"[{'text': 'media', 'score': 0.4571}, {'text': 'facebook', 'score': 0.4341}, {'text': 'abused', 'score': 0.2766}]"
1252919,"Honour listen to India’s #SoldierOfDemocracy the selfless, inspiring @naukarshah share his experiences &amp; answer the audience’s many concerns Heartening hear a forthright @JhaSanjay allaying fears about NPR in Maharashtra. Great initiative @AIPCMumbaiWest #IndiaAgainstCAA_NRC_NPR https://t.co/499Ami6gGY",nandtara,Pro OPP,pro opposition,democracy,"[{'text': 'maharashtra', 'score': 0.4884}, {'text': 'soldier', 'score': 0.3165}, {'text': 'selfless', 'score': 0.3145}]"
