source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,STANCE ,Reasoning 
,"Sudarshan News falsely claimed that Pawan Hans Ltd only recruited Muslim students. However, 38 students in total were recruited by the government-owned company, out of which 25 were Hindu and 13 were Muslim. #AltNewsFactCheck | @Priyankajha0 @zoo_bear
https://t.co/rAgo7PS0Hw",Pro OPP,,muslim,"['muslim', 'recruited', 'zoo_bear']","[{'text': 'muslim', 'score': 0.5246}, {'text': 'recruited', 'score': 0.3593}, {'text': 'zoo_bear', 'score': 0.0407}]",For ,Does not talk negatively and says that it was not muslim centric representation. 
,"Dear Muslim brothers and sisters,
After watching yesterday's video and observing Police and Govt (s) attitude related to the incident, I am shocked. 

It is unimaginable what all you have to face, one after another.  Hope we will change it together. 

Sorry. 😔",Pro OPP,,muslim,"['muslim', 'unimaginable', 'sisters']","[{'text': 'muslim', 'score': 0.5595}, {'text': 'unimaginable', 'score': 0.2195}, {'text': 'sisters', 'score': 0.1337}]",For ,Sympathises with plight of muslims. 
,RSS volunteers distributed grocery kits to needy Muslim familes. #RSSinAction https://t.co/IsnWhnPQh4,Pro Ruling,,muslim,"['volunteers', 'muslim', 'grocery']","[{'text': 'volunteers', 'score': 0.4564}, {'text': 'muslim', 'score': 0.3757}, {'text': 'grocery', 'score': 0.3734}]",Against ,Muslims shown as poor and dependent. RSS given saviour stature. Does not view Muslims in equal category. 
,"We have reached a stage where a sitting Chief minister is openly warning Hindus to not venture into Muslim Areas. The last time this happened was back in the 1940s. And that resulted in India giving away a Muslim Area.

Those who do not learn from history are doomed to repeat it.",Pro Ruling,,muslim,"['muslim', 'india', 'warning']","[{'text': 'muslim', 'score': 0.5719}, {'text': 'india', 'score': 0.4218}, {'text': 'warning', 'score': 0.2145}]",Against ,Shown Muslims as threatening and having their separate areas. Hints at humilation of partition. 
,🔸Why Muslims are afraid of Uniform Civil Code? https://t.co/RGkkM4ZWkc,Pro Ruling,,muslim,"['muslims', 'afraid', 'uniform']","[{'text': 'muslims', 'score': 0.5703}, {'text': 'afraid', 'score': 0.2466}, {'text': 'uniform', 'score': 0.2419}]",Neutral,does not take stance. asking question. 
,BJP MP calls for boycott of muslims. @moliticsindia cartoon #HateSpeech https://t.co/lIjJzLE8Ox,Pro OPP,,muslim,"['muslims', 'boycott', 'speech']","[{'text': 'muslims', 'score': 0.5395}, {'text': 'boycott', 'score': 0.4821}, {'text': 'speech', 'score': 0.2261}]",For ,Hashtag shows that it is hate speech against muslims. 
,"Kahe ki conspiracy ?  Muslims should stop playing victim card. Supreme Court ke faisle ka samman karo, achche naagrik bano. https://t.co/yhzrIEzN4E",Pro OPP,,muslim,"['muslims', 'conspiracy', 'card']","[{'text': 'muslims', 'score': 0.6159}, {'text': 'conspiracy', 'score': 0.3248}, {'text': 'card', 'score': 0.2871}]",Against ,Muslims are not good citizens and always play on the victim card. 
,People were shot dead by police when they protested against bulldozers demolishing their homes in Muslim majority area of Turkman Gate when Indira gandhi was in power. Yeah we know. https://t.co/e4ifgRXpmu,Pro Ruling,,muslim,"['dead', 'muslim', 'bulldozers']","[{'text': 'dead', 'score': 0.3439}, {'text': 'muslim', 'score': 0.3145}, {'text': 'bulldozers', 'score': 0.2313}]",,"Tweet does not specify religion of people that were killed but does show that it was in a muslim dominated area. hence area could be unsafe. However, does not specify religion of killers either."
,Imagine if this mob at Capitol Hill comprised of Muslims or Black people ?,Pro OPP,,muslim,"['mob', 'muslims', 'if']","[{'text': 'mob', 'score': 0.5675}, {'text': 'muslims', 'score': 0.5094}, {'text': 'if', 'score': 0.1205}]",neutral,"no stance taken, rhetorical question asked. "
,"Mocking Hindu Gods is not Freedom of Expression , mocking Sanatan Sanskriti is not Freedom of Expression. If likes of #MunawarFaruqui do this as a matter of practice, people have the right to democratic protest under Constitution. I will bust   #LobbyMuslimCard attempt at tonight",Pro Ruling,,muslim,"['muslim', 'constitution', 'tonight']","[{'text': 'muslim', 'score': 0.5366}, {'text': 'constitution', 'score': 0.2899}, {'text': 'tonight', 'score': 0.1518}]",Against ,shows a muslim making fun of Hindu Gods and practices. 
,"#MyKindaMuslim! 
Isn’t the boy fearless and kind?
 https://t.co/0O1uJVTksj",Pro Ruling,,muslim,"['muslim', 'boy', 'fearless']","[{'text': 'muslim', 'score': 0.5822}, {'text': 'boy', 'score': 0.3958}, {'text': 'fearless', 'score': 0.3383}]",For ,Muslims shown as kind and fearless. Positive attributes. 
,Why Lakshadweep? 93% of Lakshadweep's population are Muslims.,Pro OPP,,muslim,"['muslims', 'lakshadweep', 'why']","[{'text': 'muslims', 'score': 0.6187}, {'text': 'lakshadweep', 'score': 0.4231}, {'text': 'why', 'score': 0.3114}]",Neutral,no stance taken. does not answer if majority being muslim is good or bad. 
,"These stories give hope!

A wedding in the time of communal riots. 

A hindu family was given protection by the Muslim neighbourhood. 

Wedding in their Chandbagh house, 50 meters away, main road had turned into a battleground. 

“Woh hum sab Ki beti thi”

https://t.co/9FlRsQ3Peu",Pro OPP,,muslim,"['muslim', 'hope', 'neighbourhood']","[{'text': 'muslim', 'score': 0.5306}, {'text': 'hope', 'score': 0.3195}, {'text': 'neighbourhood', 'score': 0.3183}]",For ,shows cooperation by Muslims and good community living between the opposing religions. 
,"The other side of the story is that tomorrow when a poor Indian Muslim man is lynched, this outrage from the Arabic states won't be seen. Religion considers the dead more important than the living.",Pro OPP,,muslim,"['muslim', 'lynched', 'dead']","[{'text': 'muslim', 'score': 0.5161}, {'text': 'lynched', 'score': 0.4118}, {'text': 'dead', 'score': 0.2994}]",For ,"plight of Muslims, especially in India. "
,"Faisal is not the first victim of police brutality in India. 

There are many cases of extra judicial killings in India where Muslims were killed. Although UP Police filed FIR against 3 cops for Faisal's murder but will this system bring them to justice?

 #फैसल_को_इंसाफ_दो",Pro OPP,,muslim,"['brutality', 'muslims', 'india']","[{'text': 'brutality', 'score': 0.4396}, {'text': 'muslims', 'score': 0.3443}, {'text': 'india', 'score': 0.3121}]",For ,Demonstrates plight of Muslims in India who are subject to violence by the State in the form of policy brutality. 
,"As an Indian Muslim, i hang my head in despair #MuslimLivesMatter https://t.co/amD7rB3btb",Pro OPP,,muslim,"['muslim', 'despair', 'indian']","[{'text': 'muslim', 'score': 0.7492}, {'text': 'despair', 'score': 0.3963}, {'text': 'indian', 'score': 0.3839}]",For ,Calls for better living conditions for Muslims 
,"My request to @mieknathshinde &amp; @Dev_Fadnavis - please release Saad Ashfaque Ansari and provide him security. A young brave Muslim boy, trying to modernise his community needs our support - not our jails.",Pro Ruling,,muslim,"['muslim', 'jails', 'release']","[{'text': 'muslim', 'score': 0.5157}, {'text': 'jails', 'score': 0.3438}, {'text': 'release', 'score': 0.2592}]",For ,Muslim boy's arrest seen as unfair. Seen as pioneering modernisation and hence should be released. 
,"NY Times on UP: ""Police officers opened fire on demonstrators,broke into houses&amp;stole money, &amp;threatened to rape women.The BBC aired footage showing police officers knocking down security cameras in a Muslim neighborhood&amp; shattering windows of parked cars"" https://t.co/p0sCvZa57W",Pro OPP,,muslim,"['police', 'demonstrators', 'muslim']","[{'text': 'police', 'score': 0.5114}, {'text': 'demonstrators', 'score': 0.4071}, {'text': 'muslim', 'score': 0.2847}]",For ,Demonstrates plight of Muslims in India who are subject to violence by the State in the form of policy brutality. 
,"What did the BJP govt achieve with CAA-NRC except for hate against Muslims? 

In what way it was good for India?",Pro OPP,,muslim,"['india', 'muslims', 'hate']","[{'text': 'india', 'score': 0.4271}, {'text': 'muslims', 'score': 0.3992}, {'text': 'hate', 'score': 0.1881}]",For ,Govt propoganda to instill communal hate. Criticises policies. 
,"Muslim community under Modi Govt is growing and there is no fear to them as propogated by you and your ilk. Apprehension of the threat to lives of Muslims by BJP is kept alive to keep them united as a vote bank.
So Mr Owaisi, Stop this propoganda.
 3/3 https://t.co/zEXGa6Lxq7",Pro Ruling,,muslim,"['muslims', 'fear', 'growing']","[{'text': 'muslims', 'score': 0.6007}, {'text': 'fear', 'score': 0.2578}, {'text': 'growing', 'score': 0.2523}]",Against ,"shows Muslim community as flourishing and all ideas of ""hate"" against them as false. "
,"Brahmin thrashes Thakur with his shoe: no punishment

Muslim sells shoe with Thakur written on it: gets booked. 

Law is equal for all citizens?",Pro OPP,,muslim,"['muslim', 'punishment', 'shoe']","[{'text': 'muslim', 'score': 0.501}, {'text': 'punishment', 'score': 0.4203}, {'text': 'shoe', 'score': 0.2694}]",For ,shows unfair treatment of Muslims. Not considered equal in the eyes of Indian law. 
,Shame on these Indian Muslims of Bhopal. Celebrating the beheadings in France. https://t.co/tIONvY27gq,Pro Ruling,,muslim,"['muslims', 'beheadings', 'france']","[{'text': 'muslims', 'score': 0.6467}, {'text': 'beheadings', 'score': 0.5445}, {'text': 'france', 'score': 0.3425}]",Against ,Seen as violent and disrespectful.
,"The Prime Time anchors who spent all their time talking about Hindu-muslim , mandir -masjid this is on you. 

Know that there is consequence to your fear mongering, this is the real life consequence",Pro OPP,,muslim,"['muslim', 'fear', 'anchors']","[{'text': 'muslim', 'score': 0.453}, {'text': 'fear', 'score': 0.4206}, {'text': 'anchors', 'score': 0.19}]",Neutral,No information given about what consequences. No stance actively taken. 
,🔸How Zakat affects non-muslims? https://t.co/BIDikCUPZx,Pro Ruling,,muslim,"['muslims', 'affects', 'non']","[{'text': 'muslims', 'score': 0.6943}, {'text': 'affects', 'score': 0.3288}, {'text': 'non', 'score': 0.1413}]",Neutral,"No stance, only question asked. "
